member_name,experiment_name,policy,env_id,timesteps,lr,gamma,batch_size,epsilon_start,epsilon_end,epsilon_decay_fraction,eval_mean_reward,eval_std_reward,noted_behavior,model_path
Aubert,exp01_baseline,CnnPolicy,BreakoutNoFrameskip-v4,200000,0.0001,0.99,32,1.0,0.05,0.1,35.6,1.85,"Baseline config - Best performance, stable learning with good exploration-exploitation balance",models/exp01_baseline.zip
Aubert,exp02_high_lr,CnnPolicy,BreakoutNoFrameskip-v4,200000,0.0005,0.99,32,1.0,0.05,0.1,0.0,0.0,"High learning rate caused instability - Agent failed to learn, likely diverged due to aggressive updates",models/exp02_high_lr.zip
Aubert,exp03_low_lr,CnnPolicy,BreakoutNoFrameskip-v4,200000,5e-05,0.99,32,1.0,0.05,0.1,13.0,4.15,"Low learning rate - Slower learning but more stable, needs more timesteps to converge",models/exp03_low_lr.zip
Aubert,exp04_low_gamma,CnnPolicy,BreakoutNoFrameskip-v4,200000,0.0001,0.95,32,1.0,0.05,0.1,16.4,5.5,"Lower gamma (0.95) - Agent more short-sighted, moderate performance but less effective long-term planning",models/exp04_low_gamma.zip
Aubert,exp05_very_low_gamma,CnnPolicy,BreakoutNoFrameskip-v4,200000,0.0001,0.9,32,1.0,0.05,0.1,2.6,1.96,"Very low gamma (0.90) - Too myopic, poor performance as agent ignores future rewards",models/exp05_very_low_gamma.zip
Aubert,exp06_large_batch,CnnPolicy,BreakoutNoFrameskip-v4,200000,0.0001,0.99,64,1.0,0.05,0.1,29.8,8.35,"Larger batch (64) - Good performance with higher variance, more stable gradients but slower updates",models/exp06_large_batch.zip
Aubert,exp07_more_exploration,CnnPolicy,BreakoutNoFrameskip-v4,200000,0.0001,0.99,32,1.0,0.02,0.3,26.2,11.27,"Extended exploration (eps_end=0.02, fraction=0.3) - Good performance but high variance, longer exploration phase",models/exp07_more_exploration.zip
Aubert,exp08_less_exploration,CnnPolicy,BreakoutNoFrameskip-v4,200000,0.0001,0.99,32,1.0,0.1,0.05,30.2,4.79,"Fast epsilon decay - Quick exploitation, strong performance with early convergence",models/exp08_less_exploration.zip
Aubert,exp09_tuned,CnnPolicy,BreakoutNoFrameskip-v4,200000,0.0001,0.99,32,1.0,0.01,0.15,26.0,4.1,"Tuned epsilon (eps_end=0.01, fraction=0.15) - Balanced exploration-exploitation, consistent performance",models/exp09_tuned.zip
Aubert,exp10_mlp_policy,MlpPolicy,BreakoutNoFrameskip-v4,200000,0.0001,0.99,32,1.0,0.05,0.1,0.0,0.0,"MLP policy failed - Cannot process image observations without CNN, architecture mismatch for Atari",models/exp10_mlp_policy.zip
