#{"t_start": 1773916084.8920743, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,535,3.990235
0.0,506,4.169188
3.0,1076,4.574843
1.0,649,4.797308
0.0,525,4.983302
1.0,644,5.223846
2.0,808,5.587181
1.0,704,5.835841
4.0,1155,6.23542
1.0,628,6.453703
3.0,1106,6.830021
3.0,1098,7.211074
2.0,816,7.497059
0.0,517,7.676278
1.0,635,7.896785
1.0,636,8.127113
1.0,721,8.372632
0.0,509,8.55068
0.0,524,8.736088
2.0,822,9.015657
0.0,519,9.192913
0.0,521,9.367732
0.0,529,9.545037
1.0,618,9.755347
2.0,825,10.036877
0.0,522,10.214793
1.0,692,10.454815
3.0,1001,10.798633
3.0,1090,11.181825
4.0,1049,11.545166
3.0,1089,11.9192
3.0,942,12.238855
3.0,1100,12.613577
0.0,519,12.790298
1.0,645,13.010165
1.0,713,13.260282
2.0,778,13.523556
2.0,833,13.805444
2.0,896,14.121323
4.0,1140,14.51853
1.0,638,14.741128
0.0,520,14.921041
0.0,533,15.111899
2.0,885,15.442513
4.0,1194,15.890182
1.0,700,16.144346
2.0,919,16.465314
0.0,524,16.647221
2.0,898,16.955675
2.0,890,17.266105
0.0,523,17.447849
0.0,535,17.63332
1.0,708,17.881866
0.0,501,18.05958
0.0,501,18.239394
4.0,1305,18.690402
0.0,541,18.877069
3.0,1020,19.232884
0.0,525,20.956338
0.0,525,21.320012
1.0,713,21.842596
8.0,1933,23.331877
1.0,707,23.853084
0.0,540,24.245987
0.0,524,24.634206
0.0,533,25.010009
0.0,537,25.407396
5.0,1213,26.363609
0.0,516,26.748053
0.0,536,27.133844
0.0,532,27.539699
2.0,813,28.168428
1.0,691,28.692061
0.0,519,29.093208
0.0,533,29.489216
0.0,527,29.884933
1.0,688,30.42525
2.0,814,31.043904
0.0,535,31.426684
4.0,1094,32.278173
0.0,523,32.68609
0.0,524,33.073664
0.0,532,33.460447
0.0,541,33.868869
4.0,1078,34.744385
1.0,620,35.240287
2.0,753,35.864489
1.0,702,36.410968
3.0,931,37.155547
0.0,517,37.543601
4.0,1214,38.494468
0.0,528,38.883493
0.0,537,39.284066
0.0,521,39.683071
0.0,520,40.072287
0.0,515,40.469767
3.0,891,41.166764
2.0,737,41.747442
1.0,651,42.246038
0.0,533,42.641037
2.0,817,43.304201
0.0,541,43.721877
2.0,817,44.370561
2.0,790,45.011404
0.0,523,45.434777
0.0,505,45.851747
3.0,986,46.67473
5.0,1406,47.84862
1.0,633,48.357891
0.0,507,48.758033
0.0,535,49.176795
1.0,720,49.751335
0.0,528,50.150038
2.0,838,50.834235
0.0,490,51.234582
2.0,735,51.833317
5.0,1414,53.011727
1.0,637,53.522669
0.0,531,53.941451
1.0,704,54.514155
0.0,542,54.945631
1.0,640,55.484932
0.0,543,55.915895
3.0,997,56.754148
0.0,516,57.155286
7.0,1603,58.496655
0.0,536,58.91866
0.0,527,59.33102
0.0,533,59.751011
3.0,1016,60.595251
1.0,625,61.100032
3.0,1018,61.960271
2.0,821,62.659714
3.0,1013,63.501178
3.0,998,64.341262
0.0,511,64.760436
2.0,817,65.441201
2.0,798,66.120967
1.0,710,66.721718
1.0,648,67.255275
0.0,517,67.677986
0.0,499,68.087471
2.0,749,68.723775
1.0,712,69.31524
3.0,1030,70.171606
1.0,637,70.692074
1.0,635,71.205002
0.0,506,71.605918
1.0,725,72.202501
0.0,539,72.635093
0.0,512,73.045527
0.0,517,73.451073
0.0,542,73.883342
0.0,537,74.324418
1.0,649,74.842939
0.0,540,75.280668
1.0,698,75.902862
0.0,535,76.329268
0.0,531,76.764562
0.0,542,77.184798
0.0,519,77.601298
1.0,613,78.109413
