#{"t_start": 1773925773.5954158, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,535,0.389472
0.0,506,0.564623
3.0,1076,0.936166
1.0,649,1.155708
0.0,525,1.346625
1.0,644,1.571239
2.0,808,1.851173
1.0,704,2.102274
4.0,1155,2.501686
1.0,628,2.732074
3.0,1106,3.105595
3.0,1098,3.474185
2.0,816,3.757313
0.0,517,3.939645
1.0,635,4.156901
1.0,636,4.379822
1.0,721,4.633735
0.0,509,4.811408
0.0,524,4.987283
2.0,822,5.265627
0.0,519,5.444906
0.0,521,5.618211
0.0,529,5.803264
1.0,618,6.015275
2.0,825,6.301671
0.0,522,6.487771
1.0,692,6.734372
3.0,1001,7.085612
3.0,1090,7.455543
4.0,1049,7.806972
3.0,1089,8.174977
3.0,942,8.50289
3.0,1100,8.87797
0.0,519,9.056278
1.0,645,9.281333
1.0,713,9.528492
2.0,778,9.799077
2.0,833,10.079799
2.0,896,10.392352
4.0,1140,10.808724
1.0,638,11.058326
0.0,520,11.249522
0.0,533,11.456015
2.0,885,11.753296
4.0,1194,12.156505
1.0,700,12.394203
2.0,919,12.702353
0.0,524,12.881776
2.0,898,13.184116
2.0,890,13.493737
0.0,523,13.667754
0.0,535,13.85568
1.0,708,14.105846
0.0,501,14.288007
0.0,501,14.467348
4.0,1305,14.930811
0.0,541,15.122708
3.0,1020,15.484628
3.0,1004,16.169219
0.0,541,16.543532
1.0,641,16.99697
2.0,813,17.544066
4.0,1306,18.412713
0.0,533,18.750955
1.0,621,19.151162
1.0,647,19.577245
0.0,537,19.920342
2.0,849,20.483465
2.0,892,21.089473
1.0,719,21.558299
2.0,844,22.117488
1.0,637,22.553737
0.0,527,22.898405
3.0,851,23.492687
0.0,533,23.858233
1.0,639,24.273899
0.0,501,24.610005
3.0,1006,25.298653
0.0,543,25.676945
1.0,716,26.154501
1.0,711,26.637421
0.0,532,27.00438
0.0,523,27.350365
2.0,821,27.89994
4.0,1290,28.804669
0.0,516,29.166242
0.0,529,29.521441
4.0,1208,30.382909
0.0,519,30.74457
0.0,524,31.091679
0.0,530,31.457435
0.0,520,31.800212
2.0,761,32.322255
0.0,521,32.685337
0.0,528,33.047175
0.0,501,33.403436
6.0,1343,34.346968
2.0,816,34.903152
0.0,539,35.251834
0.0,532,35.617357
1.0,637,36.067602
2.0,820,36.655895
2.0,895,37.289634
4.0,1202,38.139351
0.0,509,38.489068
1.0,693,38.970933
11.0,1916,40.34854
3.0,1006,41.075479
0.0,527,41.432294
0.0,515,41.81675
0.0,528,42.177317
0.0,530,42.538368
0.0,542,42.902755
3.0,1028,43.61866
2.0,879,44.245963
4.0,1109,45.041061
0.0,507,45.386407
0.0,523,45.73353
2.0,838,46.33558
0.0,525,46.710546
5.0,1337,47.706133
0.0,536,48.078261
0.0,527,48.442939
4.0,1214,49.324366
0.0,540,49.6972
2.0,922,50.351559
1.0,701,50.843081
0.0,527,51.210145
4.0,1218,52.090811
2.0,829,52.701941
2.0,761,53.244632
2.0,810,53.828782
2.0,821,54.427215
0.0,523,54.787848
2.0,803,55.361083
0.0,503,55.720904
0.0,521,56.091732
0.0,511,56.471645
2.0,805,57.092633
0.0,540,57.474151
0.0,517,57.849971
0.0,492,58.197626
3.0,927,58.885671
0.0,532,59.265617
3.0,1032,59.997863
1.0,720,60.513645
2.0,811,61.093393
0.0,522,61.461991
3.0,1003,62.203087
0.0,531,62.588317
1.0,705,63.099733
3.0,1024,63.835232
4.0,1214,64.726202
2.0,829,65.32914
5.0,1373,66.385034
1.0,652,66.884371
1.0,690,67.418798
1.0,640,67.881208
0.0,524,68.26241
1.0,718,68.783371
0.0,519,69.167218
0.0,516,69.557342
1.0,628,70.022034
0.0,517,70.39723
3.0,1022,71.148414
1.0,696,71.673312
4.0,1115,72.524446
0.0,501,72.90128
2.0,822,73.510736
5.0,1416,74.598573
0.0,516,74.980756
0.0,511,75.370584
0.0,520,75.759341
3.0,1022,76.535292
2.0,922,77.25222
0.0,524,77.631869
0.0,543,78.035084
7.0,1742,79.380666
0.0,516,79.763947
1.0,647,80.237394
2.0,805,80.848392
0.0,531,81.23407
0.0,524,81.614059
0.0,517,82.01076
1.0,711,82.554493
1.0,709,83.079794
0.0,516,83.462444
1.0,712,83.987262
0.0,535,84.375482
0.0,515,84.744118
0.0,506,85.115595
2.0,800,85.717378
0.0,520,86.098944
4.0,1290,87.12365
0.0,531,87.489553
0.0,539,87.87923
0.0,543,88.265491
1.0,711,88.811012
0.0,516,89.203742
0.0,541,89.604797
4.0,1210,90.564356
0.0,537,90.969281
2.0,821,91.598902
2.0,834,92.223689
0.0,503,92.608963
1.0,709,93.14658
0.0,511,93.531272
