#{"t_start": 1773916785.3520246, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,535,0.364205
0.0,506,0.5332
3.0,1076,0.881196
1.0,649,1.09286
0.0,525,1.267886
1.0,644,1.47489
2.0,808,1.744953
1.0,704,1.98499
4.0,1155,2.36392
1.0,628,2.573741
3.0,1106,2.945796
3.0,1098,3.311739
2.0,816,3.588546
0.0,517,3.766486
1.0,635,3.986578
1.0,636,4.193836
1.0,721,4.433803
0.0,509,4.608632
0.0,524,4.784468
2.0,822,5.082605
0.0,519,5.257902
0.0,521,5.429594
0.0,529,5.604526
1.0,618,5.809814
2.0,825,6.082263
0.0,522,6.264848
1.0,692,6.487335
3.0,1001,6.8126
3.0,1090,7.17063
4.0,1049,7.516997
3.0,1089,7.868689
3.0,942,8.179616
3.0,1100,8.556719
0.0,519,8.738163
1.0,645,8.962317
1.0,713,9.197748
2.0,778,9.452993
2.0,833,9.725796
2.0,896,10.01959
4.0,1140,10.386864
1.0,638,10.594097
0.0,520,10.765756
0.0,533,10.941285
2.0,885,11.241727
4.0,1194,11.64447
1.0,700,11.878118
2.0,919,12.18195
0.0,524,12.352631
2.0,898,12.648527
2.0,890,12.944787
0.0,523,13.117758
0.0,535,13.290819
1.0,708,13.521935
0.0,501,13.688054
0.0,501,13.853628
4.0,1305,14.293384
0.0,541,14.464653
3.0,1020,14.815768
1.0,629,15.277831
1.0,653,15.75302
2.0,842,16.358895
1.0,625,16.799672
1.0,724,17.313177
0.0,540,17.695464
1.0,628,18.150205
0.0,540,18.548051
2.0,830,19.139897
2.0,833,19.737394
0.0,516,20.115628
0.0,535,20.486871
0.0,540,20.869597
0.0,518,21.240899
1.0,631,21.708563
0.0,503,22.078063
5.0,1197,22.987013
0.0,535,23.372676
0.0,516,23.762645
3.0,1022,24.565861
0.0,543,24.980716
1.0,705,25.518112
0.0,507,25.891072
1.0,718,26.422973
0.0,539,26.815248
2.0,833,27.436116
4.0,1126,28.320218
1.0,708,28.891172
1.0,633,29.359667
1.0,680,29.873221
0.0,527,30.261319
1.0,721,30.793989
0.0,522,31.176907
1.0,640,31.647757
0.0,537,32.035707
1.0,633,32.521874
0.0,520,32.907017
2.0,791,33.50403
2.0,820,34.133295
2.0,810,34.754359
0.0,539,35.175572
0.0,532,35.580963
8.0,1127,36.488215
2.0,759,37.069882
2.0,889,37.800606
5.0,1316,38.898396
0.0,515,39.312709
0.0,505,39.699264
4.0,1196,40.683665
4.0,1196,41.662277
0.0,527,42.068423
0.0,502,42.459167
2.0,814,43.104324
3.0,1032,43.930876
0.0,542,44.353447
3.0,1030,45.22163
0.0,514,45.636817
1.0,629,46.146503
2.0,822,46.812702
0.0,531,47.221995
0.0,538,47.649154
1.0,625,48.14394
4.0,1225,49.154336
0.0,536,49.581394
0.0,543,50.014571
4.0,1208,51.02624
0.0,540,51.443748
0.0,535,51.866787
0.0,536,52.283491
0.0,535,52.707972
3.0,946,53.466952
0.0,537,53.879888
0.0,529,54.312093
0.0,511,54.724201
1.0,633,55.267571
5.0,1422,56.485141
0.0,519,56.897897
0.0,503,57.305042
1.0,641,57.828828
0.0,519,58.250268
2.0,890,58.98137
0.0,540,59.392868
0.0,524,59.818769
0.0,515,60.234713
1.0,621,60.765174
0.0,540,61.181331
4.0,1218,62.194567
1.0,653,62.717636
0.0,497,63.111133
4.0,1212,64.124202
0.0,527,64.554134
0.0,539,64.994368
