#{"t_start": 1773917484.5958965, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,535,0.374576
0.0,506,0.551891
3.0,1076,0.915873
1.0,649,1.132457
0.0,525,1.306971
1.0,644,1.514477
2.0,808,1.781772
1.0,704,2.013035
4.0,1155,2.402027
1.0,628,2.608167
3.0,1106,2.977156
3.0,1098,3.360485
2.0,816,3.639486
0.0,517,3.809389
1.0,635,4.021165
1.0,636,4.227913
1.0,721,4.472498
0.0,509,4.638546
0.0,524,4.81158
2.0,822,5.087504
0.0,519,5.264219
0.0,521,5.444345
0.0,529,5.630295
1.0,618,5.865894
2.0,825,6.146218
0.0,522,6.328879
1.0,692,6.565458
3.0,1001,6.896813
3.0,1090,7.266686
4.0,1049,7.610422
3.0,1089,7.96633
3.0,942,8.289051
3.0,1100,8.665392
0.0,519,8.83725
1.0,645,9.055218
1.0,713,9.301438
2.0,778,9.566949
2.0,833,9.846618
2.0,896,10.144365
4.0,1140,10.525902
1.0,638,10.738264
0.0,520,10.917271
0.0,533,11.100025
2.0,885,11.398872
4.0,1194,11.803088
1.0,700,12.033225
2.0,919,12.342793
0.0,524,12.521003
2.0,898,12.826214
2.0,890,13.123236
0.0,523,13.297935
0.0,535,13.476293
1.0,708,13.71455
0.0,501,13.88315
0.0,501,14.053765
4.0,1305,14.484786
0.0,541,14.659926
3.0,1020,14.997844
2.0,804,15.583529
0.0,541,15.975951
3.0,955,16.69814
0.0,514,17.054875
5.0,1422,18.094292
2.0,824,18.688044
0.0,524,19.053261
0.0,532,19.424281
2.0,830,20.015522
0.0,541,20.397557
0.0,508,20.762543
1.0,640,21.21105
0.0,540,21.599875
2.0,817,22.181267
0.0,506,22.554358
1.0,711,23.10136
2.0,817,23.717168
0.0,527,24.106302
0.0,516,24.485576
2.0,806,25.098994
0.0,543,25.486518
0.0,540,25.903366
1.0,639,26.421464
0.0,532,26.818923
0.0,523,27.197439
2.0,831,27.8073
0.0,522,28.193468
0.0,516,28.592902
0.0,529,28.979963
4.0,1112,29.855866
0.0,506,30.23617
0.0,532,30.634183
0.0,522,31.026262
1.0,643,31.527191
11.0,1107,32.383451
0.0,521,32.769569
0.0,521,33.162358
0.0,515,33.566136
2.0,831,34.194119
0.0,518,34.580928
2.0,815,35.208204
2.0,819,35.857028
0.0,525,36.252153
3.0,897,36.958452
3.0,865,37.650028
3.0,870,38.350475
2.0,903,39.082445
2.0,795,39.735817
5.0,1406,40.889846
0.0,514,41.307063
0.0,527,41.720387
1.0,635,42.224389
0.0,527,42.632934
0.0,538,43.051702
2.0,826,43.718961
1.0,715,44.299991
2.0,790,44.961847
1.0,613,45.483271
2.0,814,46.186854
0.0,531,46.612351
0.0,531,47.075335
0.0,524,47.489054
3.0,1034,48.33866
