#{"t_start": 1773918175.1168506, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,535,0.365082
0.0,506,0.535284
3.0,1076,0.899501
1.0,649,1.115772
0.0,525,1.291727
1.0,644,1.497699
2.0,808,1.769216
1.0,704,2.006435
4.0,1155,2.385329
1.0,628,2.595213
3.0,1106,2.998871
3.0,1098,3.371172
2.0,816,3.640912
0.0,517,3.814852
1.0,635,4.026672
1.0,636,4.239112
1.0,721,4.478956
0.0,509,4.658648
0.0,524,4.843624
2.0,822,5.130403
0.0,519,5.334213
0.0,521,5.512363
0.0,529,5.68295
1.0,618,5.891684
2.0,825,6.173481
0.0,522,6.354421
1.0,692,6.589928
3.0,1001,6.922038
3.0,1090,7.283903
4.0,1049,7.644287
3.0,1089,8.01532
3.0,942,8.329799
3.0,1100,8.693774
0.0,519,8.868976
1.0,645,9.08007
1.0,713,9.313629
2.0,778,9.563951
2.0,833,9.836929
2.0,896,10.127489
4.0,1140,10.503907
1.0,638,10.711387
0.0,520,10.881171
0.0,533,11.051977
2.0,885,11.34876
4.0,1194,11.735681
1.0,700,11.969485
2.0,919,12.275429
0.0,524,12.452257
2.0,898,12.741198
2.0,890,13.031965
0.0,523,13.207898
0.0,535,13.388198
1.0,708,13.628516
0.0,501,13.79036
0.0,501,13.960272
4.0,1305,14.38684
0.0,541,14.564983
3.0,1020,14.892475
0.0,525,15.289671
2.0,822,15.890461
2.0,810,16.481323
3.0,941,17.180122
3.0,1032,17.908942
1.0,638,18.361847
0.0,524,18.731754
1.0,718,19.250646
2.0,823,19.851454
2.0,773,20.419391
2.0,738,20.967321
1.0,655,21.454163
1.0,644,21.916469
1.0,717,22.456119
0.0,519,22.835599
0.0,519,23.223029
1.0,645,23.683886
0.0,519,24.06483
0.0,516,24.449411
1.0,690,24.983805
0.0,536,25.391623
2.0,824,26.00876
0.0,515,26.38289
0.0,524,26.765588
1.0,651,27.234739
3.0,1029,28.023331
4.0,1210,28.951891
0.0,516,29.33719
2.0,815,29.953619
1.0,694,30.483078
1.0,625,30.942401
0.0,516,31.318892
0.0,530,31.712499
0.0,536,32.119257
4.0,1071,32.942385
0.0,513,33.329675
0.0,520,33.722763
1.0,606,34.206039
0.0,541,34.607257
0.0,524,35.008228
0.0,531,35.431212
2.0,818,36.057846
2.0,757,36.653934
1.0,717,37.202323
0.0,525,37.609399
2.0,802,38.275894
0.0,523,38.685255
0.0,519,39.101092
3.0,1008,39.91965
0.0,490,40.299064
0.0,519,40.71525
0.0,523,41.127059
0.0,520,41.528728
0.0,538,41.936165
0.0,518,42.335344
0.0,538,42.745558
0.0,506,43.145626
3.0,929,43.910754
5.0,1319,45.01198
0.0,531,45.45927
1.0,722,46.030424
1.0,648,46.549249
0.0,542,46.967289
0.0,536,47.395689
2.0,781,48.016593
1.0,710,48.590044
0.0,533,49.009912
5.0,1420,50.168907
1.0,643,50.678053
0.0,535,51.100686
0.0,540,51.508995
7.0,1023,52.339984
4.0,1081,53.250403
3.0,1003,54.11004
2.0,887,54.841986
1.0,714,55.424842
6.0,1400,56.589694
0.0,503,56.981526
1.0,626,57.47721
0.0,519,57.901533
4.0,1094,58.803884
0.0,540,59.22966
2.0,742,59.828698
0.0,515,60.24971
1.0,696,60.818015
0.0,540,61.23562
3.0,1016,62.068448
3.0,947,62.836246
0.0,521,63.281005
3.0,1022,64.125627
0.0,527,64.54784
0.0,539,64.974061
0.0,520,65.413855
2.0,838,66.097511
1.0,710,66.652903
0.0,537,67.079445
3.0,1025,67.909272
0.0,540,68.330465
0.0,500,68.729684
3.0,937,69.479715
0.0,524,69.899154
1.0,704,70.455618
0.0,506,70.861104
0.0,516,71.274102
0.0,532,71.689543
0.0,524,72.104726
4.0,1220,73.10071
3.0,1081,74.008548
0.0,500,74.403502
2.0,792,75.06371
4.0,1212,76.086545
3.0,1018,76.926319
0.0,531,77.340734
0.0,520,77.74613
1.0,700,78.311288
1.0,722,78.896558
1.0,704,79.454803
1.0,618,79.949622
1.0,655,80.471078
2.0,814,81.127688
0.0,500,81.525366
0.0,543,81.949815
2.0,810,82.602712
0.0,523,83.01259
0.0,516,83.426988
2.0,827,84.121667
1.0,618,84.62209
2.0,767,85.269432
0.0,531,85.703219
0.0,540,86.12103
0.0,543,86.539506
1.0,622,87.039201
2.0,803,87.687318
0.0,494,88.081287
0.0,535,88.490911
1.0,699,89.059784
1.0,708,89.627641
4.0,1125,90.552952
0.0,535,90.960381
0.0,515,91.356361
0.0,492,91.750174
0.0,541,92.163916
1.0,684,92.71954
3.0,1021,93.556531
0.0,529,93.97946
3.0,1018,94.819483
0.0,497,95.239523
3.0,1093,96.142111
1.0,635,96.651995
0.0,532,97.06236
3.0,1020,97.894419
2.0,757,98.496152
0.0,513,98.901954
0.0,515,99.304057
1.0,656,99.824311
1.0,702,100.388913
9.0,1624,101.733907
1.0,718,102.307074
0.0,527,102.719939
5.0,1410,103.914449
