#{"t_start": 1773918864.940496, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,535,0.378384
0.0,506,0.548651
3.0,1076,0.912421
1.0,649,1.130558
0.0,525,1.314214
1.0,644,1.528688
2.0,808,1.805352
1.0,704,2.052827
4.0,1155,2.442434
1.0,628,2.657883
3.0,1106,3.027207
3.0,1098,3.405409
2.0,816,3.680794
0.0,517,3.857548
1.0,635,4.072008
1.0,636,4.289625
1.0,721,4.532828
0.0,509,4.722126
0.0,524,4.902161
2.0,822,5.180343
0.0,519,5.364978
0.0,521,5.559827
0.0,529,5.736899
1.0,618,5.945074
2.0,825,6.232038
0.0,522,6.413319
1.0,692,6.648769
3.0,1001,6.987501
3.0,1090,7.358644
4.0,1049,7.715723
3.0,1089,8.086134
3.0,942,8.402982
3.0,1100,8.771698
0.0,519,8.951501
1.0,645,9.174799
1.0,713,9.425247
2.0,778,9.685582
2.0,833,9.965917
2.0,896,10.268801
4.0,1140,10.658104
1.0,638,10.875044
0.0,520,11.052163
0.0,533,11.231734
2.0,885,11.535777
4.0,1194,11.931395
1.0,700,12.172576
2.0,919,12.487613
0.0,524,12.658686
2.0,898,12.966249
2.0,890,13.265542
0.0,523,13.443963
0.0,535,13.621716
1.0,708,13.861358
0.0,501,14.033519
0.0,501,14.206711
4.0,1305,14.650056
0.0,541,14.831995
3.0,1020,15.186003
0.0,525,15.572361
0.0,533,15.960123
3.0,1018,16.700136
0.0,521,17.067389
2.0,838,17.670582
1.0,736,18.204341
0.0,517,18.564393
0.0,540,18.94267
2.0,835,19.561862
0.0,533,19.941349
0.0,516,20.326485
1.0,731,20.861677
0.0,516,21.221472
0.0,525,21.610029
0.0,519,21.988297
0.0,519,22.380986
2.0,825,22.997876
0.0,535,23.390303
0.0,509,23.777898
4.0,1202,24.725408
0.0,527,25.103461
3.0,1034,25.915244
0.0,523,26.310144
2.0,808,26.919103
2.0,775,27.502983
2.0,749,28.068438
2.0,902,28.76944
0.0,516,29.168685
7.0,1015,29.944744
3.0,1012,30.75133
0.0,519,31.142777
1.0,639,31.628547
4.0,1094,32.48386
0.0,515,32.859078
4.0,1063,33.684985
2.0,753,34.267222
2.0,804,34.905853
0.0,499,35.297387
9.0,1421,36.466205
0.0,524,36.86759
0.0,531,37.263346
0.0,540,37.677485
3.0,930,38.415818
2.0,833,39.058442
0.0,525,39.458298
0.0,514,39.853966
0.0,516,40.249182
0.0,519,40.661128
3.0,992,41.459556
3.0,1002,42.263941
0.0,511,42.675526
0.0,523,43.084571
0.0,535,43.49449
4.0,1142,44.41621
0.0,542,44.834044
1.0,642,45.336565
4.0,1073,46.221039
3.0,924,46.975253
5.0,1406,48.139138
2.0,807,48.797173
2.0,918,49.550107
0.0,508,49.948289
0.0,534,50.358954
2.0,822,51.024385
0.0,522,51.421064
2.0,803,52.066747
0.0,524,52.470733
3.0,1014,53.291996
0.0,536,53.711676
0.0,527,54.125153
1.0,637,54.626924
0.0,529,55.054838
2.0,897,55.832255
0.0,512,56.245677
1.0,641,56.768003
2.0,838,57.45541
0.0,510,57.86324
0.0,519,58.279893
3.0,932,59.049714
5.0,1185,60.030072
1.0,695,60.588613
0.0,533,60.998321
1.0,700,61.557571
