#{"t_start": 1773919558.0729876, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,535,0.3726
0.0,506,0.544974
3.0,1076,0.892511
1.0,649,1.108624
0.0,525,1.28744
1.0,644,1.502527
2.0,808,1.770792
1.0,704,2.01194
4.0,1155,2.418544
1.0,628,2.628178
3.0,1106,2.989095
3.0,1098,3.350441
2.0,816,3.623844
0.0,517,3.797193
1.0,635,4.011503
1.0,636,4.230034
1.0,721,4.470156
0.0,509,4.641652
0.0,524,4.81474
2.0,822,5.08812
0.0,519,5.265042
0.0,521,5.438468
0.0,529,5.616715
1.0,618,5.827215
2.0,825,6.104567
0.0,522,6.283156
1.0,692,6.521144
3.0,1001,6.851337
3.0,1090,7.215728
4.0,1049,7.554943
3.0,1089,7.917916
3.0,942,8.231709
3.0,1100,8.593476
0.0,519,8.765644
1.0,645,8.977617
1.0,713,9.220003
2.0,778,9.479361
2.0,833,9.750692
2.0,896,10.036056
4.0,1140,10.410361
1.0,638,10.622438
0.0,520,10.792938
0.0,533,10.973801
2.0,885,11.268127
4.0,1194,11.661534
1.0,700,11.8907
2.0,919,12.211025
0.0,524,12.405704
2.0,898,12.702991
2.0,890,12.992102
0.0,523,13.164888
0.0,535,13.340751
1.0,708,13.581268
0.0,501,13.745401
0.0,501,13.911847
4.0,1305,14.334391
0.0,541,14.5062
3.0,1020,14.838562
2.0,759,15.460604
2.0,833,16.123718
2.0,755,16.734892
1.0,626,17.233839
5.0,1352,18.29518
1.0,705,18.845018
0.0,524,19.253282
2.0,751,19.846104
2.0,917,20.579544
3.0,945,21.342937
2.0,804,22.012336
1.0,655,22.542994
0.0,525,22.951413
3.0,1084,23.834006
0.0,527,24.248864
1.0,623,24.750128
2.0,813,25.41886
1.0,639,25.957608
0.0,508,26.372841
0.0,498,26.791651
0.0,543,27.24418
1.0,644,27.780328
0.0,523,28.214729
0.0,532,28.655122
0.0,531,29.107176
0.0,541,29.552011
2.0,887,30.3088
0.0,516,30.744009
2.0,763,31.388885
1.0,702,31.994639
1.0,715,32.626145
0.0,517,33.064592
0.0,522,33.502494
3.0,872,34.252244
6.0,1415,35.505192
0.0,505,35.937576
0.0,521,36.381991
3.0,990,37.258998
3.0,891,38.03877
2.0,750,38.685128
0.0,525,39.126843
0.0,540,39.592465
1.0,629,40.138845
2.0,773,40.823878
2.0,815,41.558074
0.0,493,41.998242
0.0,507,42.467395
0.0,505,42.93859
0.0,499,43.386899
4.0,1082,44.450195
1.0,692,45.085938
0.0,516,45.550585
0.0,527,46.019858
2.0,830,46.767356
2.0,834,47.508293
4.0,1220,48.622057
5.0,1406,49.925315
7.0,1447,51.305316
2.0,822,52.088449
0.0,531,52.577675
3.0,1032,53.546797
1.0,645,54.120291
2.0,914,54.953167
1.0,708,55.594504
0.0,535,56.055789
2.0,826,56.82104
3.0,956,57.698553
1.0,654,58.275206
2.0,820,59.0198
0.0,511,59.466842
1.0,704,60.094168
1.0,709,60.727259
0.0,505,61.16963
4.0,1215,62.33372
0.0,529,62.799918
3.0,1030,63.7505
2.0,826,64.4943
1.0,624,65.083894
2.0,821,65.829281
0.0,512,66.285968
3.0,1002,67.209463
3.0,930,68.047281
3.0,952,68.932228
0.0,507,69.393348
1.0,631,69.963691
0.0,532,70.421588
2.0,838,71.192338
3.0,1035,72.142642
1.0,686,72.77942
4.0,1202,73.893381
0.0,527,74.364764
0.0,532,74.83787
0.0,513,75.29825
2.0,774,75.997307
10.0,1832,77.729057
2.0,828,78.481863
1.0,641,79.042848
1.0,637,79.614635
4.0,1177,80.708555
0.0,535,81.166722
0.0,531,81.63306
4.0,1230,82.797039
1.0,635,83.364582
1.0,680,83.990461
0.0,532,84.471851
0.0,503,84.919777
2.0,838,85.696553
0.0,518,86.171319
0.0,514,86.63035
0.0,516,87.106287
0.0,522,87.574844
0.0,526,88.056113
1.0,643,88.629959
1.0,643,89.215431
1.0,693,89.850879
8.0,1522,91.262527
0.0,542,91.730496
1.0,630,92.316432
1.0,735,92.970538
0.0,522,93.423432
1.0,636,93.992282
2.0,843,94.751494
2.0,811,95.505887
0.0,539,95.980639
0.0,516,96.440424
1.0,621,97.018523
1.0,710,97.679144
1.0,629,98.255932
0.0,531,98.731893
1.0,702,99.36867
0.0,543,99.830404
1.0,627,100.401024
0.0,527,100.869954
1.0,628,101.451241
0.0,535,101.923923
1.0,684,102.578502
4.0,1226,103.725543
0.0,532,104.187426
1.0,647,104.753621
0.0,515,105.212219
2.0,740,105.89184
1.0,653,106.473805
2.0,887,107.304357
3.0,941,108.169804
2.0,821,108.916055
11.0,1886,110.712674
1.0,631,111.299409
4.0,1081,112.359943
0.0,519,112.839135
0.0,524,113.321568
1.0,695,113.979567
1.0,725,114.644508
0.0,529,115.101628
1.0,708,115.744856
1.0,651,116.323669
0.0,519,116.793726
7.0,1717,118.431065
2.0,810,119.169593
2.0,747,119.863772
2.0,804,120.614582
1.0,704,121.250705
0.0,515,121.72299
0.0,528,122.193026
0.0,535,122.683236
0.0,525,123.162413
0.0,513,123.619411
0.0,499,124.068628
0.0,539,124.550441
1.0,626,125.117785
6.0,1494,126.514507
0.0,509,126.967786
0.0,531,127.421864
2.0,818,128.169918
1.0,647,128.754549
2.0,804,129.492923
0.0,542,129.974105
0.0,532,130.447405
1.0,625,131.029402
1.0,710,131.693635
0.0,522,132.180755
1.0,720,132.847076
3.0,946,133.702886
0.0,530,134.169034
3.0,895,135.00863
2.0,913,135.879693
0.0,500,136.331153
2.0,751,137.016037
2.0,732,137.708339
0.0,515,138.168756
1.0,645,138.743028
0.0,526,139.198753
0.0,526,139.677357
0.0,535,140.156236
0.0,523,140.623045
0.0,524,141.084073
2.0,826,141.861954
1.0,636,142.46996
0.0,500,142.934061
3.0,883,143.767852
0.0,527,144.250863
11.0,1095,145.287829
0.0,520,145.764887
7.0,1613,147.286942
3.0,863,148.150386
2.0,733,148.85212
2.0,771,149.585295
3.0,903,150.420025
2.0,722,151.090956
2.0,733,151.770329
0.0,514,152.247552
1.0,646,152.83963
2.0,751,153.544209
2.0,759,154.235713
2.0,853,155.004017
5.0,1209,156.136441
4.0,980,157.035348
7.0,997,157.949586
1.0,639,158.528171
3.0,870,159.322211
2.0,749,160.008437
7.0,1005,160.939412
5.0,1297,162.184237
2.0,755,162.899031
3.0,932,163.794006
2.0,734,164.475547
3.0,863,165.267936
3.0,875,166.074917
2.0,817,166.824536
3.0,941,167.674354
2.0,741,168.35427
3.0,1011,169.29337
3.0,877,170.092671
1.0,715,170.757719
6.0,1309,171.987952
9.0,1319,173.248534
11.0,1111,174.260328
2.0,747,174.943394
5.0,1111,175.967797
7.0,1019,176.900573
5.0,1239,178.032741
4.0,1126,179.077504
3.0,865,179.884024
5.0,1418,181.201073
7.0,1013,182.124604
0.0,535,182.603241
3.0,859,183.394426
5.0,1201,184.506443
9.0,1640,186.014492
4.0,1304,187.211922
2.0,847,187.972035
3.0,954,188.853763
3.0,994,189.757111
0.0,515,190.206416
3.0,940,191.067955
6.0,1502,192.505041
6.0,1622,194.025817
8.0,1876,195.789065
5.0,1396,197.111042
0.0,515,197.589115
7.0,1240,198.739414
11.0,1896,200.50851
2.0,751,201.174868
9.0,1640,202.745381
7.0,1023,203.684832
7.0,1818,205.398195
11.0,1946,207.266801
3.0,1012,208.210923
11.0,1107,209.24844
10.0,1751,210.916679
14.0,1926,212.794422
11.0,1966,214.646733
12.0,1246,215.804774
11.0,1892,217.626106
10.0,1828,219.387007
9.0,1640,220.960177
15.0,2526,223.410845
11.0,1107,224.430032
1.0,639,225.014764
11.0,1111,226.068812
5.0,1287,227.305743
9.0,1628,228.830169
0.0,543,229.298805
13.0,1422,230.673512
15.0,1776,232.360601
4.0,1128,233.421861
4.0,1062,234.414063
18.0,1427,235.747789
13.0,2007,237.6423
14.0,1339,238.89908
19.0,1331,240.153277
6.0,1554,241.606085
3.0,863,242.436185
10.0,1389,243.731571
6.0,1622,245.243962
6.0,1540,246.709105
18.0,1194,247.821787
14.0,1696,249.431492
15.0,1741,251.085048
7.0,1439,252.470303
8.0,1630,254.017606
12.0,1143,255.086571
6.0,1222,256.224238
10.0,1511,257.658476
8.0,1342,258.940785
10.0,1543,260.4059
13.0,2088,262.403735
4.0,1155,263.483721
16.0,1682,265.076781
8.0,2014,266.975185
8.0,1127,268.046639
8.0,1850,269.826443
16.0,1690,271.404727
14.0,1493,272.833589
3.0,867,273.654592
9.0,1398,274.977629
8.0,1748,276.651006
11.0,1091,277.687164
9.0,1566,279.173887
14.0,1563,280.674881
11.0,2418,283.070289
15.0,2110,285.1162
21.0,2327,287.370504
12.0,1683,289.010139
13.0,2018,290.956567
11.0,1642,292.576039
12.0,1996,294.526045
10.0,2019,296.454311
10.0,1958,298.327574
5.0,1098,299.375234
7.0,1698,300.993816
