#{"t_start": 1773920332.0434148, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,535,0.403856
0.0,506,0.579661
3.0,1076,0.941066
1.0,649,1.159143
0.0,525,1.341069
1.0,644,1.557962
2.0,808,1.829801
1.0,704,2.067337
4.0,1155,2.454448
1.0,628,2.662039
3.0,1106,3.021606
3.0,1098,3.399128
2.0,816,3.670432
0.0,517,3.844515
1.0,635,4.061069
1.0,636,4.277637
1.0,721,4.521482
0.0,509,4.693972
0.0,524,4.86646
2.0,822,5.145603
0.0,519,5.322718
0.0,521,5.500111
0.0,529,5.677871
1.0,618,5.88431
2.0,825,6.160463
0.0,522,6.340001
1.0,692,6.57959
3.0,1001,6.908564
3.0,1090,7.271251
4.0,1049,7.622332
3.0,1089,7.992375
3.0,942,8.332988
3.0,1100,8.704076
0.0,519,8.88194
1.0,645,9.101996
1.0,713,9.349583
2.0,778,9.614851
2.0,833,9.887499
2.0,896,10.181585
4.0,1140,10.564116
1.0,638,10.780709
0.0,520,10.953733
0.0,533,11.133101
2.0,885,11.443798
4.0,1194,11.844893
1.0,700,12.076211
2.0,919,12.376934
0.0,524,12.547807
2.0,898,12.848992
2.0,890,13.144369
0.0,523,13.322759
0.0,535,13.499798
1.0,708,13.738787
0.0,501,13.904956
0.0,501,14.073021
4.0,1305,14.504653
0.0,541,14.682683
3.0,1020,15.014225
0.0,525,15.348632
2.0,941,15.955255
2.0,821,16.484864
0.0,505,16.804515
0.0,530,17.149597
0.0,540,17.507422
0.0,517,17.848676
0.0,540,18.20913
3.0,1092,18.952098
2.0,834,19.499108
2.0,802,20.037899
0.0,536,20.375756
0.0,533,20.71964
0.0,518,21.062787
2.0,764,21.579675
1.0,711,22.064322
0.0,518,22.401725
1.0,724,22.886309
1.0,612,23.298805
3.0,998,24.000098
0.0,535,24.346578
0.0,532,24.68287
0.0,509,25.014462
1.0,644,25.449161
0.0,523,25.786494
0.0,541,26.135327
3.0,1006,26.810318
0.0,501,27.142929
1.0,641,27.567133
0.0,510,27.912266
0.0,519,28.298829
4.0,996,28.998059
2.0,910,29.626804
0.0,528,29.98943
0.0,537,30.344925
2.0,753,30.866372
0.0,520,31.205523
0.0,515,31.555844
3.0,945,32.187819
0.0,532,32.544224
1.0,643,32.985339
0.0,532,33.335165
1.0,637,33.770124
2.0,833,34.345128
2.0,817,34.926146
0.0,500,35.280808
0.0,516,35.637103
0.0,503,35.966606
4.0,1058,36.713902
5.0,1320,37.639909
0.0,520,37.984622
0.0,515,38.36655
0.0,519,38.703094
4.0,1130,39.491911
2.0,834,40.059683
5.0,1410,41.053128
2.0,894,41.688225
3.0,996,42.389418
2.0,806,42.956607
0.0,515,43.308488
3.0,1108,44.080749
0.0,532,44.452698
5.0,1408,45.440334
1.0,635,45.868317
1.0,655,46.315046
2.0,891,46.945335
2.0,759,47.464921
5.0,1504,48.554816
1.0,720,49.052111
1.0,711,49.539046
0.0,532,49.895717
0.0,537,50.24959
1.0,633,50.690198
3.0,1011,51.414509
1.0,634,51.86579
1.0,730,52.383284
2.0,826,52.96397
0.0,519,53.322651
2.0,889,53.937231
3.0,951,54.61752
2.0,812,55.188676
0.0,532,55.553437
2.0,810,56.133117
0.0,499,56.497982
2.0,801,57.068292
1.0,637,57.515884
2.0,911,58.183507
1.0,737,58.7291
2.0,817,59.307897
5.0,1422,60.340474
0.0,527,60.709908
0.0,531,61.07395
0.0,520,61.437451
1.0,634,61.876275
3.0,1046,62.641629
0.0,530,63.001647
2.0,769,63.550282
0.0,540,63.924771
3.0,1004,64.656003
0.0,527,65.007351
1.0,643,65.459083
2.0,842,66.057546
0.0,519,66.41384
0.0,508,66.775974
0.0,532,67.146398
0.0,524,67.522331
1.0,642,67.970277
4.0,1206,68.880513
0.0,515,69.239647
0.0,516,69.605185
2.0,812,70.196851
2.0,810,70.790667
2.0,899,71.433211
0.0,520,71.801533
2.0,743,72.324418
6.0,1550,73.48048
0.0,526,73.836314
0.0,525,74.203835
1.0,641,74.667526
4.0,1226,75.55701
1.0,628,76.024206
2.0,855,76.642447
1.0,694,77.15997
0.0,531,77.551176
0.0,524,77.925635
0.0,501,78.30849
2.0,826,78.911832
2.0,826,79.500844
0.0,515,79.874251
1.0,645,80.327224
0.0,535,80.709146
0.0,501,81.06854
0.0,519,81.44664
0.0,516,81.817983
0.0,535,82.195267
0.0,514,82.556802
9.0,1934,84.026304
0.0,523,84.403975
0.0,529,84.783952
0.0,523,85.158828
1.0,613,85.611551
0.0,525,85.977202
0.0,515,86.347313
0.0,537,86.728589
0.0,521,87.094473
3.0,1028,87.860099
1.0,631,88.425981
4.0,1197,89.353616
0.0,511,89.73369
0.0,532,90.125144
0.0,523,90.505929
2.0,822,91.11512
0.0,521,91.479735
0.0,523,91.862457
0.0,531,92.234484
0.0,527,92.627743
0.0,522,93.005659
2.0,834,93.6225
0.0,527,94.007219
2.0,890,94.674947
2.0,826,95.295288
0.0,515,95.691297
0.0,536,96.095441
0.0,543,96.480642
2.0,739,97.025833
3.0,934,97.70936
0.0,516,98.099734
0.0,539,98.504517
0.0,527,98.896861
0.0,541,99.287726
0.0,523,99.68881
0.0,531,100.073675
3.0,1026,100.852089
2.0,835,101.479327
0.0,526,101.871261
2.0,834,102.493202
0.0,532,102.873596
5.0,1402,103.959679
9.0,1620,105.21733
2.0,822,105.856753
0.0,517,106.234548
1.0,726,106.765835
0.0,522,107.150552
0.0,537,107.552217
0.0,519,107.939254
1.0,691,108.513584
0.0,517,108.924369
1.0,705,109.461721
3.0,858,110.122638
0.0,539,110.515986
1.0,654,111.012617
3.0,1010,111.822462
1.0,635,112.30301
1.0,727,112.861112
2.0,900,113.566624
0.0,518,113.961207
0.0,508,114.342759
0.0,506,114.736557
0.0,533,115.139297
0.0,513,115.526744
3.0,868,116.235777
0.0,520,116.633386
0.0,540,117.043414
0.0,507,117.430684
0.0,507,117.830788
0.0,527,118.240491
0.0,535,118.674582
0.0,516,119.096691
0.0,515,119.504827
5.0,1387,120.634445
0.0,542,121.043857
0.0,523,121.451193
0.0,531,121.872287
0.0,528,122.256802
0.0,512,122.650748
2.0,807,123.28908
0.0,512,123.68175
0.0,519,124.077984
2.0,820,124.725451
2.0,829,125.361228
0.0,519,125.760293
0.0,517,126.16743
2.0,818,126.80159
2.0,748,127.379226
7.0,1730,128.812707
2.0,821,129.465135
0.0,532,129.867115
1.0,718,130.430343
3.0,1110,131.326191
2.0,803,131.969558
0.0,511,132.366022
1.0,699,132.909741
0.0,507,133.304569
0.0,525,133.70272
2.0,741,134.290874
2.0,824,134.93366
0.0,511,135.324274
0.0,537,135.729377
2.0,833,136.406462
2.0,819,137.055302
3.0,922,137.804928
0.0,517,138.224105
7.0,1306,139.314524
0.0,529,139.718205
0.0,535,140.123714
0.0,525,140.529633
2.0,805,141.162593
2.0,817,141.805652
4.0,1222,142.788755
2.0,811,143.435576
0.0,516,143.843667
0.0,521,144.253603
2.0,794,144.892692
0.0,524,145.306833
9.0,1628,146.66144
3.0,1012,147.471588
9.0,1616,148.853117
9.0,1620,150.234574
2.0,794,150.892121
1.0,644,151.396151
9.0,1624,152.749384
3.0,941,153.514803
10.0,1824,155.040114
3.0,1013,155.868411
3.0,1004,156.700679
9.0,1616,158.084028
0.0,520,158.51704
2.0,829,159.183269
9.0,1632,160.550893
9.0,1628,161.921748
7.0,1746,163.386763
2.0,829,164.056382
9.0,1620,165.415867
9.0,1628,166.792466
9.0,1640,168.187494
9.0,1620,169.594474
2.0,830,170.271323
0.0,527,170.702779
2.0,825,171.376817
2.0,817,172.049586
9.0,1628,173.428084
0.0,543,173.863269
3.0,1000,174.704426
0.0,536,175.125394
2.0,808,175.803847
2.0,800,176.485954
2.0,813,177.18049
2.0,793,177.847787
3.0,938,178.655234
0.0,520,179.103214
5.0,1418,180.343661
2.0,794,181.000242
0.0,523,181.418349
5.0,1426,182.627372
0.0,528,183.060009
0.0,515,183.474015
0.0,543,183.918937
2.0,841,184.642622
0.0,516,185.066718
0.0,524,185.49675
0.0,517,185.930788
0.0,524,186.372069
1.0,633,186.901663
0.0,512,187.325279
5.0,1184,188.363793
9.0,1628,189.757258
0.0,531,190.180974
0.0,516,190.597644
9.0,1632,192.001386
2.0,751,192.615926
9.0,1640,194.006884
2.0,825,194.687972
0.0,535,195.120873
0.0,519,195.546591
0.0,528,195.979788
2.0,816,196.647321
0.0,521,197.079636
0.0,528,197.505322
0.0,539,197.943277
5.0,1398,199.170892
4.0,1210,200.209534
3.0,1039,201.074904
0.0,525,201.495447
0.0,535,201.919639
0.0,529,202.341236
11.0,1958,204.009394
2.0,907,204.751714
1.0,645,205.280977
0.0,524,205.706628
9.0,1636,207.08928
0.0,537,207.513498
3.0,1016,208.405338
0.0,541,208.839614
2.0,823,209.526713
2.0,916,210.325467
5.0,1335,211.45223
5.0,1398,212.637429
3.0,912,213.394778
1.0,636,213.918864
2.0,811,214.579334
4.0,1283,215.655006
11.0,1904,217.268797
0.0,517,217.689708
2.0,829,218.402609
9.0,1628,219.783401
0.0,519,220.203513
0.0,535,220.629167
3.0,879,221.359734
3.0,887,222.098098
2.0,806,222.777116
10.0,1808,224.350922
7.0,1015,225.205345
0.0,537,225.636106
7.0,1447,226.874589
6.0,1413,228.106274
1.0,619,228.661752
7.0,1016,229.520191
0.0,515,229.949351
2.0,756,230.585756
1.0,704,231.169834
0.0,517,231.599004
0.0,515,232.017298
7.0,1000,232.858452
1.0,647,233.382474
1.0,641,233.900854
3.0,879,234.634356
7.0,1678,236.082135
4.0,1127,237.043734
0.0,539,237.478219
3.0,869,238.212837
7.0,1015,239.101684
2.0,768,239.74857
0.0,527,240.187084
0.0,515,240.621894
0.0,515,241.055258
15.0,2120,242.866868
0.0,543,243.295084
3.0,876,244.025916
6.0,1594,245.396163
11.0,1095,246.32007
11.0,1900,247.970234
2.0,896,248.74189
0.0,531,249.171314
2.0,744,249.775296
11.0,1107,250.708976
11.0,1099,251.653903
7.0,1690,253.091326
0.0,532,253.509787
0.0,523,253.927059
6.0,1383,255.094599
0.0,532,255.528766
0.0,515,255.960658
11.0,1912,257.610065
3.0,930,258.4188
0.0,516,258.845742
11.0,1091,259.770995
7.0,1591,261.130471
8.0,1886,262.761058
0.0,543,263.192188
7.0,1592,264.537065
11.0,1908,266.158985
1.0,649,266.675591
2.0,755,267.303321
2.0,911,268.063662
0.0,543,268.518014
0.0,539,268.948861
2.0,931,269.720705
8.0,1798,271.322648
2.0,927,272.120148
0.0,540,272.549812
4.0,1227,273.590675
5.0,1183,274.604343
11.0,1892,276.233868
3.0,868,276.953607
2.0,853,277.653066
3.0,1019,278.547727
4.0,1056,279.423915
11.0,1111,280.335136
5.0,1340,281.469808
7.0,1723,282.92766
2.0,930,283.690056
11.0,1900,285.292405
6.0,1550,286.60323
6.0,1526,287.892222
17.0,2581,290.119384
12.0,1163,291.100618
20.0,2113,292.89658
2.0,900,293.640761
4.0,1234,294.672165
1.0,644,295.193448
1.0,644,295.7298
5.0,1203,296.751187
4.0,1125,297.715017
13.0,2466,299.861905
13.0,2146,301.727433
21.0,2372,303.752047
11.0,1087,304.663539
13.0,1426,305.89466
12.0,1669,307.321384
6.0,1390,308.511801
11.0,1916,310.125476
14.0,2104,311.955472
13.0,2134,313.736938
13.0,1884,315.316269
10.0,1990,316.996371
16.0,2129,318.838417
13.0,1350,319.985376
17.0,2334,321.975878
10.0,1894,323.575437
6.0,1471,324.798767
13.0,2144,326.583847
4.0,1159,327.527035
6.0,1290,328.631624
11.0,1908,330.241067
11.0,1099,331.14984
8.0,1790,332.652102
27.0,1650,334.029251
12.0,2024,335.754012
6.0,1688,337.163415
5.0,1164,338.132797
13.0,1431,339.345105
9.0,2065,341.099772
4.0,1138,342.036656
5.0,1346,343.155618
14.0,1273,344.238847
16.0,1317,345.357383
16.0,2666,347.617264
13.0,2449,349.768996
10.0,2169,351.59926
29.0,3623,354.720845
12.0,2112,356.517399
17.0,2497,358.701005
9.0,1784,360.218721
14.0,1422,361.474575
28.0,2827,363.884992
12.0,1294,364.957957
11.0,1904,366.56574
16.0,2426,368.669486
19.0,3019,371.248893
16.0,2590,373.435677
5.0,1184,374.420432
15.0,1611,375.761626
8.0,1736,377.234096
18.0,1513,378.530092
13.0,1434,379.728654
14.0,1478,380.983239
13.0,1367,382.132662
17.0,2088,383.879608
18.0,1721,385.312691
14.0,1591,386.645521
13.0,1876,388.252207
22.0,2631,390.559877
11.0,1960,392.231434
12.0,2090,393.998383
16.0,2568,396.165262
24.0,2432,398.234437
13.0,2214,400.1256
9.0,1981,401.815721
14.0,2916,404.282416
17.0,1933,405.893865
14.0,2344,407.90193
18.0,3368,410.813107
13.0,2527,412.938165
11.0,2382,414.968396
20.0,2560,417.205224
13.0,2210,419.102502
12.0,2614,421.329176
13.0,2074,423.0813
14.0,1494,424.32346
18.0,2541,426.481455
21.0,2393,428.532914
12.0,2086,430.296761
14.0,2715,432.594259
16.0,1337,433.708702
20.0,2826,436.094932
9.0,1822,437.648546
14.0,2686,439.975754
12.0,2422,442.036028
22.0,2780,444.3744
14.0,1401,445.549334
17.0,2096,447.308429
14.0,2172,449.174649
16.0,2544,451.347931
22.0,2883,453.805435
8.0,1123,454.753951
12.0,2574,456.935573
12.0,2022,458.656091
12.0,2096,460.424759
12.0,2004,462.114689
12.0,2026,463.824601
17.0,2438,465.873513
14.0,2523,468.026753
17.0,2059,469.842805
18.0,2456,471.918816
18.0,2719,474.21821
12.0,2000,475.90152
11.0,2125,477.718297
19.0,2873,480.194198
13.0,1970,481.854232
18.0,2310,483.785394
26.0,2751,486.080697
15.0,2502,488.20924
15.0,1479,489.446812
17.0,1931,491.03924
