#{"t_start": 1773921017.6348279, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,535,0.366497
0.0,506,0.531913
3.0,1076,0.885539
1.0,649,1.099386
0.0,525,1.274913
1.0,644,1.487573
2.0,808,1.762952
1.0,704,1.9894
4.0,1155,2.367324
1.0,628,2.58616
3.0,1106,2.977139
3.0,1098,3.35113
2.0,816,3.631787
0.0,517,3.812455
1.0,635,4.025904
1.0,636,4.236442
1.0,721,4.470737
0.0,509,4.643168
0.0,524,4.8139
2.0,822,5.086289
0.0,519,5.261766
0.0,521,5.437207
0.0,529,5.612638
1.0,618,5.816646
2.0,825,6.090478
0.0,522,6.268956
1.0,692,6.497477
3.0,1001,6.829849
3.0,1090,7.183762
4.0,1049,7.530586
3.0,1089,7.882809
3.0,942,8.190916
3.0,1100,8.546143
0.0,519,8.720492
1.0,645,8.926317
1.0,713,9.176243
2.0,778,9.439696
2.0,833,9.716885
2.0,896,10.008054
4.0,1140,10.383244
1.0,638,10.595248
0.0,520,10.767247
0.0,533,10.938199
2.0,885,11.227015
4.0,1194,11.626209
1.0,700,11.866456
2.0,919,12.164672
0.0,524,12.337378
2.0,898,12.644454
2.0,890,12.957908
0.0,523,13.127515
0.0,535,13.300312
1.0,708,13.537374
0.0,501,13.70472
0.0,501,13.870392
4.0,1305,14.294569
0.0,541,14.473851
3.0,1020,14.813394
1.0,622,15.291294
2.0,823,15.943534
1.0,627,16.437728
0.0,514,16.851748
0.0,514,17.247934
0.0,540,17.66513
0.0,510,18.052739
3.0,1016,18.863477
0.0,537,19.274169
4.0,1095,20.158156
0.0,493,20.547066
1.0,707,21.100306
0.0,540,21.515777
4.0,1051,22.368783
0.0,527,22.818555
0.0,503,23.219864
0.0,533,23.645393
0.0,519,24.049788
0.0,516,24.468419
0.0,514,24.883819
0.0,543,25.306912
3.0,960,26.07831
0.0,523,26.490246
2.0,816,27.151442
0.0,523,27.553836
0.0,541,27.971184
2.0,902,28.706656
0.0,509,29.108946
2.0,817,29.765038
1.0,702,30.328049
1.0,719,30.914387
0.0,532,31.34661
3.0,1014,32.182695
1.0,633,32.693108
1.0,649,33.223047
2.0,800,33.876807
0.0,528,34.30141
0.0,500,34.700587
0.0,518,35.097398
0.0,532,35.523587
1.0,651,36.026343
0.0,540,36.447792
1.0,704,37.009155
4.0,1137,37.918438
1.0,629,38.417679
2.0,790,39.078093
2.0,801,39.753771
0.0,511,40.152479
1.0,691,40.709301
1.0,676,41.254704
0.0,520,41.66883
0.0,499,42.06427
0.0,519,42.475828
0.0,522,42.900401
1.0,718,43.469796
1.0,722,44.029337
2.0,798,44.686322
1.0,696,45.240413
4.0,1212,46.240257
0.0,531,46.666996
1.0,714,47.230452
1.0,644,47.747368
2.0,842,48.426003
2.0,812,49.07187
0.0,543,49.482592
0.0,510,49.886123
1.0,652,50.399878
1.0,710,50.957781
0.0,536,51.383824
0.0,514,51.772475
1.0,712,52.338375
2.0,815,53.00989
0.0,529,53.418369
6.0,1600,54.7488
1.0,705,55.31252
8.0,1522,56.577439
9.0,1628,57.924343
0.0,511,58.329248
1.0,641,58.834265
0.0,511,59.239042
3.0,1020,60.088523
1.0,647,60.598509
0.0,524,61.010101
0.0,515,61.428594
3.0,873,62.137124
3.0,1020,63.008431
5.0,1307,64.089309
0.0,533,64.51106
1.0,700,65.084066
3.0,1022,65.923681
5.0,1331,67.046968
0.0,539,67.468781
0.0,520,67.889025
7.0,1694,69.294819
4.0,1140,70.227485
1.0,651,70.728788
0.0,513,71.130937
0.0,540,71.543815
0.0,507,71.956839
0.0,528,72.359926
0.0,531,72.795457
2.0,842,73.457553
