#{"t_start": 1773921700.516638, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,535,0.372757
0.0,506,0.538057
3.0,1076,0.891304
1.0,649,1.103923
0.0,525,1.282927
1.0,644,1.491026
2.0,808,1.761992
1.0,704,1.997489
4.0,1155,2.38618
1.0,628,2.593384
3.0,1106,2.955434
3.0,1098,3.328712
2.0,816,3.601913
0.0,517,3.777645
1.0,635,3.991034
1.0,636,4.206409
1.0,721,4.45151
0.0,509,4.627256
0.0,524,4.805978
2.0,822,5.088317
0.0,519,5.266708
0.0,521,5.445685
0.0,529,5.627149
1.0,618,5.83645
2.0,825,6.112722
0.0,522,6.292716
1.0,692,6.522322
3.0,1001,6.858819
3.0,1090,7.220758
4.0,1049,7.585218
3.0,1089,7.960024
3.0,942,8.277038
3.0,1100,8.661345
0.0,519,8.83861
1.0,645,9.057176
1.0,713,9.307215
2.0,778,9.585972
2.0,833,9.88833
2.0,896,10.19079
4.0,1140,10.586251
1.0,638,10.799773
0.0,520,10.973503
0.0,533,11.156312
2.0,885,11.451294
4.0,1194,11.858247
1.0,700,12.096693
2.0,919,12.401696
0.0,524,12.582566
2.0,898,12.880399
2.0,890,13.210353
0.0,523,13.388696
0.0,535,13.565198
1.0,708,13.804381
0.0,501,13.971704
0.0,501,14.141148
4.0,1305,14.585604
0.0,541,14.769775
3.0,1020,15.10073
2.0,801,15.648223
0.0,541,16.01819
1.0,717,16.520712
3.0,1005,17.219728
4.0,1152,18.03132
3.0,1048,18.75333
0.0,524,19.113204
0.0,540,19.487098
1.0,651,19.953664
0.0,541,20.315667
0.0,516,20.691146
0.0,543,21.054723
0.0,525,21.408989
0.0,525,21.769118
0.0,519,22.122654
0.0,503,22.469197
0.0,533,22.831449
1.0,639,23.281526
0.0,508,23.646574
3.0,1006,24.36603
0.0,536,24.724174
1.0,712,25.210162
0.0,515,25.57768
0.0,532,25.949446
0.0,525,26.301288
1.0,717,26.798262
2.0,887,27.434115
1.0,688,27.91922
3.0,1093,28.748843
3.0,1010,29.495454
0.0,519,29.896461
1.0,724,30.413701
4.0,1220,31.314133
1.0,643,31.767341
3.0,947,32.450418
1.0,705,32.942156
0.0,521,33.322188
0.0,507,33.688208
1.0,655,34.153069
2.0,818,34.741708
0.0,539,35.121343
0.0,532,35.49806
2.0,751,36.054667
1.0,655,36.527169
0.0,525,36.907304
1.0,690,37.428034
1.0,627,37.883059
0.0,511,38.264066
4.0,1202,39.173086
2.0,814,39.830628
1.0,723,40.425021
0.0,523,40.846394
0.0,527,41.237583
3.0,1008,41.99885
4.0,1168,42.888886
5.0,1422,43.985963
0.0,507,44.364595
2.0,893,45.044513
1.0,622,45.51948
0.0,524,45.909026
3.0,1040,46.711296
2.0,818,47.339292
6.0,1634,48.576261
0.0,536,48.971323
0.0,543,49.373327
0.0,526,49.78742
1.0,652,50.296163
2.0,842,50.933425
0.0,536,51.327667
0.0,535,51.719687
0.0,540,52.107378
1.0,706,52.63504
4.0,1154,53.534713
3.0,1012,54.319341
2.0,753,54.898045
2.0,831,55.536754
3.0,1106,56.412677
0.0,511,56.810042
0.0,507,57.185799
0.0,519,57.579969
2.0,890,58.264661
1.0,726,58.817293
0.0,503,59.205993
1.0,699,59.778797
2.0,870,60.504975
1.0,732,61.068611
4.0,1308,62.116645
4.0,1008,62.907526
4.0,1089,63.799763
0.0,530,64.200321
0.0,505,64.586496
0.0,539,64.990649
