member_name,experiment_name,policy,env_id,timesteps,lr,gamma,batch_size,epsilon_start,epsilon_end,epsilon_decay_fraction,eval_mean_reward,eval_std_reward,noted_behavior,model_path
Honorine,exp01,cnn,ALE/Pong-v5,150000,0.0001,0.99,32,1.0,0.05,0.1,-17.0,2.828,"Fill after run (e.g., stable learning, high variance, over/under-exploration).",runs/exp01/cnn/dqn_model.zip
Honorine,exp02,cnn,ALE/Pong-v5,150000,5e-05,0.99,32,1.0,0.05,0.1,-18.333,1.247,"Fill after run (e.g., stable learning, high variance, over/under-exploration).",runs/exp02/cnn/dqn_model.zip
Honorine,exp03,mlp,ALE/Pong-v5,100000,0.0001,0.99,32,1.0,0.05,0.1,-21.0,0.0,"Fill after run (e.g., stable learning, high variance, over/under-exploration).",runs/exp03/mlp/dqn_model.zip
Honorine,exp06,cnn,ALE/Pong-v5,150000,0.0001,0.999,32,1.0,0.05,0.1,-17.333,3.091,"Fill after run (e.g., stable learning, high variance, over/under-exploration).",runs/exp06/cnn/dqn_model.zip
Honorine,exp07,cnn,ALE/Pong-v5,150000,0.0001,0.99,64,1.0,0.05,0.1,-17.333,2.494,"Fill after run (e.g., stable learning, high variance, over/under-exploration).",runs/exp07/cnn/dqn_model.zip
Honorine,exp07,cnn,ALE/Pong-v5,150000,0.0001,0.99,64,1.0,0.05,0.1,-18.0,1.633,"Fill after run (e.g., stable learning, high variance, over/under-exploration).",runs/exp07/cnn/dqn_model.zip
Honorine,exp08,cnn,ALE/Pong-v5,150000,0.0001,0.99,128,1.0,0.1,0.1,-15.333,2.867,"Fill after run (e.g., stable learning, high variance, over/under-exploration).",runs/exp08/cnn/dqn_model.zip
Honorine,exp09,cnn,ALE/Pong-v5,300000,0.0001,0.99,32,1.0,0.01,0.2,-16.0,2.16,"Fill after run (e.g., stable learning, high variance, over/under-exploration).",runs/exp09/cnn/dqn_model.zip
Honorine,exp10,cnn,ALE/Pong-v5,500000,0.0001,0.99,32,1.0,0.05,0.05,-6.667,4.497,"Fill after run (e.g., stable learning, high variance, over/under-exploration).",runs/exp10/cnn/dqn_model.zip
Honorine,exp01,cnn,ALE/Pong-v5,1000000,0.0001,0.99,32,1.0,0.05,0.1,-5.8,3.709,"Fill after run (e.g., stable learning, high variance, over/under-exploration).",runs/exp01/cnn/dqn_model.zip
