#{"t_start": 1774084531.7308629, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
220.0,744,5.615373
280.0,641,6.488207
240.0,742,7.415661
165.0,687,8.258856
150.0,651,9.089431
135.0,501,9.717425
55.0,389,10.207538
195.0,717,11.120481
35.0,272,11.473041
160.0,694,12.367998
130.0,467,12.96833
15.0,286,13.325585
145.0,715,14.260678
90.0,513,14.996602
55.0,460,15.579912
45.0,515,16.254392
45.0,281,16.628884
140.0,806,17.738997
30.0,256,18.08195
85.0,476,18.722283
55.0,314,19.142113
360.0,834,20.24653
75.0,514,20.946148
75.0,461,21.557782
60.0,481,22.208507
80.0,334,22.651715
65.0,456,23.266506
90.0,453,23.880489
50.0,332,24.335137
160.0,677,25.295468
190.0,619,26.17876
145.0,497,26.851435
235.0,664,27.783203
290.0,541,28.543647
45.0,480,29.206074
455.0,765,30.279417
45.0,277,30.667603
195.0,785,31.796433
105.0,805,32.907735
80.0,378,33.434113
45.0,375,33.955577
315.0,643,34.892323
210.0,724,35.922182
120.0,556,36.683918
285.0,686,37.646247
85.0,530,38.394838
155.0,600,39.254411
150.0,509,39.983643
480.0,817,41.115571
275.0,690,42.0957
65.0,641,42.998576
275.0,811,44.127519
345.0,732,45.168413
270.0,824,46.323961
40.0,352,46.819644
35.0,313,47.259937
845.0,960,48.617839
305.0,653,49.534514
170.0,476,50.23286
155.0,489,50.923393
320.0,917,52.205618
205.0,708,53.20978
500.0,1060,54.736238
140.0,719,55.748842
120.0,568,56.552682
130.0,511,57.257228
580.0,947,58.565842
100.0,511,59.282271
355.0,818,60.440106
40.0,368,60.961344
200.0,699,61.94424
310.0,945,63.29925
180.0,511,64.043187
150.0,836,65.290714
250.0,606,66.139269
215.0,721,67.152388
140.0,972,68.528454
400.0,860,69.742511
185.0,583,70.560493
235.0,670,71.513079
230.0,639,72.397685
270.0,732,73.426273
370.0,964,74.839335
115.0,324,75.298293
250.0,739,76.376209
180.0,782,77.554554
160.0,486,78.232523
55.0,386,78.77105
105.0,485,79.466278
145.0,468,80.158328
555.0,846,81.366772
115.0,576,82.197738
410.0,695,83.189707
485.0,1304,85.050992
230.0,685,86.05741
235.0,686,87.097284
305.0,747,88.176067
285.0,768,89.275684
225.0,764,90.402081
180.0,497,91.101917
235.0,620,91.991387
275.0,1151,93.622707
45.0,253,93.992488
245.0,931,95.382327
35.0,465,96.066188
375.0,685,97.08833
115.0,527,97.872501
410.0,1129,99.553848
480.0,886,100.83571
220.0,796,101.989618
250.0,635,102.910187
190.0,624,103.806547
145.0,516,104.562993
245.0,716,105.60841
80.0,467,106.287542
185.0,492,107.02383
140.0,417,107.613637
185.0,491,108.321059
65.0,452,108.995523
155.0,499,109.718352
220.0,595,110.603806
330.0,715,111.643076
185.0,641,112.580057
55.0,505,113.298239
380.0,928,114.647588
435.0,848,115.880863
310.0,674,116.875184
50.0,382,117.42382
150.0,598,118.286532
185.0,474,118.988095
130.0,393,119.554895
500.0,1291,121.394773
175.0,468,122.061722
280.0,691,123.044696
195.0,595,123.89905
180.0,499,124.654792
180.0,490,125.377673
330.0,824,126.547193
30.0,434,127.16431
125.0,529,127.911777
105.0,385,128.464197
800.0,1202,130.180537
280.0,682,131.172434
265.0,582,132.024795
190.0,567,132.857725
350.0,693,133.850173
150.0,684,134.914565
205.0,712,135.95992
295.0,702,136.977723
500.0,973,138.361471
170.0,495,139.079175
240.0,441,139.696609
425.0,726,140.741593
205.0,643,141.683081
640.0,869,142.953337
335.0,736,144.037083
180.0,502,144.821517
320.0,771,145.906185
310.0,770,147.002291
235.0,790,148.126179
75.0,377,148.656812
290.0,877,149.877173
470.0,796,150.970348
290.0,879,152.188483
300.0,708,153.164532
295.0,616,154.039066
280.0,684,155.012304
105.0,518,155.758411
145.0,382,156.297746
95.0,276,156.676029
100.0,517,157.398199
100.0,506,158.125483
120.0,386,158.686904
105.0,439,159.338119
120.0,610,160.255633
370.0,806,161.424259
160.0,471,162.091822
400.0,1013,163.531887
510.0,707,164.560502
70.0,340,165.074157
100.0,476,165.758199
230.0,940,167.089926
145.0,511,167.825736
65.0,428,168.425981
180.0,483,169.121853
400.0,1038,170.59925
105.0,492,171.31758
230.0,723,172.384678
235.0,740,173.489243
210.0,696,174.536449
290.0,600,175.447027
190.0,588,176.29752
230.0,637,177.21595
55.0,405,177.814036
100.0,509,178.538242
30.0,397,179.113122
140.0,493,179.820821
400.0,625,180.757022
50.0,385,181.331957
200.0,625,182.251911
190.0,481,182.924073
165.0,501,183.615639
215.0,670,184.561169
415.0,665,185.520863
435.0,1023,186.919293
65.0,345,187.398909
330.0,966,188.785371
490.0,994,190.163165
220.0,600,191.039217
270.0,673,192.010568
40.0,270,192.373452
435.0,681,193.332095
235.0,470,194.000741
320.0,921,195.346545
305.0,687,196.302471
195.0,822,197.504443
195.0,630,198.410834
340.0,922,199.747724
375.0,717,200.796939
150.0,492,201.5113
605.0,956,202.845591
565.0,822,204.036097
435.0,841,205.291717
205.0,561,206.100094
255.0,553,206.919344
170.0,478,207.596923
615.0,971,208.95985
25.0,264,209.331641
185.0,416,209.934422
155.0,449,210.581809
205.0,495,211.285927
60.0,265,211.653997
145.0,480,212.33903
160.0,499,213.040621
235.0,636,213.963209
265.0,597,214.841172
250.0,627,215.741328
80.0,318,216.202014
135.0,476,216.912041
335.0,718,217.94445
195.0,691,218.952539
75.0,267,219.312972
440.0,716,220.344887
460.0,973,221.708712
580.0,991,223.078142
130.0,718,224.103078
190.0,612,225.030953
545.0,1147,226.599744
260.0,734,227.642767
380.0,587,228.485794
415.0,858,229.702459
510.0,1232,231.38562
220.0,620,232.259857
175.0,487,232.960789
210.0,632,233.866299
130.0,291,234.289973
270.0,743,235.405348
185.0,665,236.35248
145.0,507,237.062009
590.0,940,238.354327
230.0,701,239.326814
210.0,754,240.431439
190.0,595,241.272235
210.0,615,242.145554
210.0,487,242.843459
115.0,520,243.575715
300.0,773,244.717113
220.0,587,245.548518
175.0,402,246.119291
35.0,257,246.472654
585.0,804,247.587519
205.0,791,248.706317
225.0,524,249.480642
80.0,293,249.920548
175.0,748,251.014333
215.0,491,251.740691
245.0,824,252.912728
155.0,396,253.480292
260.0,597,254.350623
245.0,773,255.484032
50.0,351,255.989291
190.0,612,256.861821
200.0,526,257.629056
155.0,613,258.487961
350.0,721,259.504178
470.0,879,260.70271
355.0,845,261.861399
85.0,372,262.386954
695.0,880,263.625782
145.0,625,264.519119
155.0,523,265.281499
270.0,593,266.130993
210.0,613,267.016373
195.0,613,267.885273
190.0,701,268.906075
190.0,838,270.15158
220.0,511,270.899201
75.0,340,271.389481
275.0,827,272.580148
510.0,857,273.79536
25.0,375,274.328773
80.0,480,275.046503
135.0,513,275.806443
300.0,713,276.845706
180.0,483,277.550309
185.0,485,278.260808
95.0,379,278.810567
130.0,414,279.398782
320.0,703,280.435287
170.0,471,281.13512
500.0,1010,282.570595
70.0,306,282.984845
135.0,418,283.580182
130.0,485,284.273911
265.0,528,285.050441
260.0,625,285.961221
265.0,569,286.741527
225.0,394,287.292386
255.0,488,287.967851
75.0,403,288.519211
195.0,503,289.206757
125.0,349,289.682685
