#{"t_start": 1774085152.8918316, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
220.0,744,1.000964
65.0,528,1.704797
65.0,423,2.276608
75.0,540,2.996594
65.0,373,3.535999
180.0,515,4.232077
35.0,281,4.599663
45.0,268,4.933862
135.0,575,5.70194
170.0,680,6.617179
30.0,262,6.964388
110.0,497,7.62639
20.0,374,8.144367
140.0,481,8.797723
45.0,433,9.37179
100.0,510,10.053877
115.0,508,10.746382
160.0,735,11.756674
335.0,1039,13.163293
50.0,280,13.564596
20.0,436,14.179889
170.0,708,15.174268
230.0,935,16.479209
90.0,520,17.209028
75.0,467,17.886051
340.0,634,18.753583
295.0,914,20.031174
105.0,407,20.605854
255.0,841,21.798022
120.0,499,22.515463
315.0,786,23.643599
25.0,381,24.188174
110.0,622,25.096976
150.0,681,26.061586
100.0,484,26.747777
55.0,329,27.217179
90.0,593,28.050369
265.0,720,29.042484
100.0,479,29.702569
145.0,526,30.432006
35.0,402,31.016694
60.0,422,31.600861
165.0,489,32.287804
25.0,402,32.847517
155.0,607,33.725623
90.0,493,34.402213
55.0,402,34.984097
90.0,600,35.851594
135.0,478,36.546106
25.0,329,37.020391
95.0,520,37.7693
95.0,513,38.49404
120.0,398,39.058966
225.0,739,40.120122
340.0,608,40.973884
20.0,254,41.330225
45.0,378,41.872148
200.0,741,42.947103
45.0,285,43.351474
140.0,493,44.052189
80.0,362,44.584282
130.0,505,45.312829
125.0,497,45.998488
220.0,707,47.037014
120.0,430,47.68458
60.0,433,48.312667
65.0,350,48.831587
60.0,396,49.386631
95.0,518,50.142625
20.0,372,50.682566
35.0,263,51.043281
80.0,485,51.734242
160.0,591,52.608879
180.0,691,53.67713
45.0,269,54.044735
185.0,778,55.191066
5.0,288,55.605735
40.0,355,56.128143
220.0,822,57.363859
55.0,281,57.781609
30.0,491,58.534021
150.0,871,59.846557
135.0,484,60.547711
125.0,624,61.510611
145.0,720,62.61607
210.0,776,63.820771
180.0,534,64.600417
165.0,557,65.426054
50.0,249,65.811588
135.0,525,66.62535
630.0,1026,68.196381
70.0,466,68.902946
150.0,584,69.803039
365.0,847,71.081499
235.0,675,72.100456
30.0,298,72.548058
285.0,671,73.571405
70.0,510,74.335092
125.0,478,75.047787
55.0,295,75.471886
295.0,702,76.524786
155.0,458,77.194011
65.0,490,77.931622
245.0,651,78.91
50.0,315,79.374134
110.0,622,80.309582
110.0,364,80.85231
195.0,698,81.918936
225.0,684,82.955198
155.0,676,84.020063
180.0,537,84.840364
295.0,474,85.534291
240.0,551,86.336327
155.0,473,87.060393
15.0,470,87.777185
120.0,554,88.633527
35.0,285,89.036394
290.0,691,90.09555
130.0,573,90.990637
120.0,337,91.493803
80.0,525,92.277005
170.0,491,93.016507
65.0,288,93.472509
145.0,393,94.072478
130.0,474,94.814867
215.0,486,95.569711
120.0,493,96.326018
370.0,553,97.168973
150.0,662,98.186821
60.0,391,98.794793
125.0,571,99.669674
15.0,254,100.050246
220.0,499,100.814173
45.0,401,101.409209
35.0,347,101.945815
270.0,602,102.869626
185.0,548,103.747176
210.0,668,104.803685
95.0,501,105.614056
135.0,438,106.28488
50.0,364,106.850275
5.0,380,107.42156
220.0,494,108.177031
145.0,436,108.873538
35.0,315,109.349959
180.0,733,110.522075
85.0,375,111.10878
420.0,752,112.313809
50.0,360,112.876429
80.0,340,113.397893
35.0,289,113.852524
215.0,834,115.134082
110.0,301,115.583357
265.0,581,116.489482
35.0,375,117.063191
40.0,315,117.533818
50.0,314,118.027064
30.0,253,118.388484
75.0,278,118.821383
50.0,373,119.385925
140.0,425,120.047179
180.0,516,120.834188
235.0,639,121.869838
690.0,1045,123.533625
310.0,702,124.67362
200.0,682,125.824464
105.0,510,126.643945
225.0,853,128.003565
45.0,352,128.543419
135.0,505,129.330578
40.0,315,129.807533
80.0,376,130.373903
105.0,362,130.916201
185.0,496,131.684623
95.0,369,132.256007
170.0,472,133.015854
185.0,491,133.842136
390.0,664,134.92652
195.0,527,135.817083
145.0,712,136.96794
335.0,698,138.058022
120.0,342,138.586974
170.0,566,139.464505
120.0,476,140.192467
