#{"t_start": 1774085832.1271622, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
205.0,674,1.638032
20.0,294,1.994252
70.0,499,2.636506
255.0,854,3.704145
50.0,409,4.224108
100.0,719,5.156199
35.0,481,5.78061
105.0,552,6.482262
85.0,503,7.131594
120.0,519,7.806322
80.0,485,8.417825
110.0,606,9.186556
125.0,752,10.196788
100.0,708,11.125325
490.0,840,12.225611
330.0,677,13.090184
350.0,533,13.778492
175.0,530,14.502283
10.0,331,14.926947
200.0,723,15.85842
635.0,926,17.054433
210.0,566,17.786911
205.0,631,18.60302
290.0,734,19.559907
595.0,930,20.796515
390.0,1154,22.305041
210.0,577,23.069128
335.0,1049,24.523829
490.0,785,25.582287
815.0,1078,27.030419
360.0,999,28.42281
545.0,680,29.353304
285.0,726,30.367959
180.0,618,31.216826
285.0,726,32.192634
185.0,695,33.139382
75.0,395,33.666059
510.0,814,34.835733
100.0,390,35.353403
290.0,825,36.522669
110.0,386,37.08609
100.0,480,37.771158
475.0,847,38.939322
135.0,289,39.307464
380.0,992,40.658673
160.0,530,41.382792
200.0,482,42.0429
415.0,609,42.885819
180.0,614,43.749236
140.0,429,44.385508
140.0,482,45.053013
500.0,825,46.177675
410.0,643,47.062399
125.0,374,47.584167
80.0,294,47.992052
300.0,706,48.98059
230.0,634,49.870853
320.0,654,50.756843
160.0,621,51.625316
85.0,343,52.074943
235.0,856,53.27181
170.0,523,54.00711
210.0,471,54.684929
75.0,288,55.075964
160.0,460,55.718378
225.0,604,56.54247
270.0,740,57.550752
180.0,659,58.441709
235.0,605,59.266336
390.0,1216,60.885009
205.0,489,61.525853
400.0,737,62.517781
225.0,501,63.192211
135.0,473,63.819474
265.0,715,64.821248
150.0,393,65.355976
105.0,295,65.757624
480.0,688,66.729896
135.0,685,67.71139
270.0,739,68.754306
195.0,610,69.623201
315.0,765,70.666643
155.0,379,71.162707
155.0,518,71.875149
480.0,892,73.109296
260.0,601,73.945255
600.0,980,75.29511
390.0,755,76.291281
115.0,389,76.814534
470.0,749,77.830477
230.0,683,78.74283
210.0,527,79.463504
210.0,704,80.437031
215.0,635,81.308835
245.0,727,82.299894
660.0,893,83.547662
685.0,1136,85.107903
275.0,692,86.041088
165.0,483,86.692134
335.0,646,87.550736
240.0,531,88.264952
285.0,678,89.153787
255.0,738,90.164609
170.0,495,90.83433
210.0,620,91.664383
275.0,673,92.591847
215.0,487,93.248187
345.0,794,94.354939
225.0,517,95.057777
380.0,1014,96.458783
490.0,956,97.798668
340.0,647,98.668553
255.0,679,99.601812
105.0,357,100.090033
155.0,466,100.719455
110.0,387,101.24998
170.0,538,101.980014
160.0,445,102.590313
315.0,612,103.446483
80.0,295,103.85724
415.0,511,104.627679
215.0,486,105.30387
350.0,708,106.293402
80.0,301,106.69118
390.0,893,107.929416
160.0,520,108.656898
195.0,473,109.307764
355.0,642,110.194798
310.0,700,111.165646
495.0,662,112.086396
230.0,565,112.856205
280.0,941,114.170599
230.0,488,114.876823
305.0,657,115.769126
420.0,716,116.752313
105.0,391,117.292183
510.0,709,118.246308
200.0,504,118.950175
110.0,324,119.394942
320.0,714,120.386151
290.0,714,121.362892
105.0,342,121.823723
390.0,811,122.888937
380.0,739,123.865615
180.0,464,124.516803
270.0,538,125.251969
240.0,442,125.849584
190.0,481,126.519425
270.0,538,127.257689
430.0,625,128.100985
295.0,588,128.906895
270.0,538,129.651344
295.0,610,130.489671
235.0,794,131.585904
295.0,538,132.312186
180.0,399,132.843546
190.0,431,133.428986
580.0,864,134.630142
320.0,762,135.660041
315.0,770,136.706703
315.0,766,137.74094
225.0,879,138.91702
555.0,1019,140.272347
575.0,922,141.510236
485.0,1080,142.962108
