#{"t_start": 1774086422.8096085, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
295.0,851,1.459665
40.0,367,1.890533
155.0,762,2.841236
235.0,778,3.847941
160.0,608,4.643226
35.0,460,5.2262
180.0,576,5.944994
45.0,416,6.461406
45.0,333,6.878251
125.0,518,7.537026
205.0,744,8.479468
395.0,820,9.494277
50.0,381,9.979333
80.0,529,10.648054
105.0,554,11.347234
435.0,651,12.170024
60.0,351,12.620191
35.0,341,13.052452
165.0,561,13.792676
100.0,403,14.284729
240.0,740,15.208721
60.0,290,15.558902
130.0,346,15.982891
10.0,292,16.343454
240.0,506,17.007873
325.0,889,18.194561
70.0,418,18.737653
290.0,790,19.732055
140.0,608,20.509975
150.0,509,21.136774
95.0,495,21.76418
20.0,386,22.231983
75.0,295,22.601254
245.0,651,23.41407
85.0,372,23.88924
540.0,806,24.876918
220.0,646,25.689285
280.0,681,26.542104
60.0,433,27.078873
105.0,546,27.767314
55.0,290,28.129792
45.0,279,28.479635
70.0,441,29.043009
100.0,501,29.698332
395.0,683,30.57272
225.0,689,31.431282
35.0,278,31.782616
70.0,529,32.451129
150.0,384,32.926767
200.0,705,33.86371
140.0,491,34.481402
15.0,275,34.810152
135.0,421,35.338636
20.0,254,35.662408
155.0,480,36.281062
125.0,504,36.914053
70.0,344,37.371916
35.0,277,37.732218
270.0,612,38.544941
15.0,420,39.062832
75.0,290,39.429091
260.0,873,40.541554
310.0,900,41.683623
165.0,873,42.793049
110.0,462,43.393265
85.0,431,43.955061
240.0,728,44.876812
300.0,993,46.121205
55.0,331,46.536806
80.0,429,47.072202
70.0,553,47.753905
150.0,508,48.39336
150.0,738,49.364492
30.0,384,49.863803
200.0,615,50.646636
90.0,435,51.216585
35.0,289,51.592784
340.0,566,52.339938
10.0,379,52.829602
15.0,253,53.142913
20.0,373,53.650208
130.0,502,54.266529
85.0,373,54.74327
90.0,351,55.209484
30.0,297,55.608052
100.0,395,56.133222
25.0,407,56.692414
115.0,598,57.490348
210.0,497,58.139464
60.0,459,58.755238
30.0,240,59.064693
95.0,555,59.777447
