#{"t_start": 1774087028.9118562, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
220.0,744,1.418717
155.0,640,2.413468
210.0,701,3.473438
445.0,670,4.511993
75.0,450,5.198071
45.0,384,5.75694
195.0,545,6.637291
175.0,581,7.600028
35.0,326,8.115808
55.0,398,8.730214
330.0,960,10.290763
210.0,801,11.567679
35.0,338,12.103543
20.0,296,12.57156
80.0,400,13.203777
120.0,434,13.880301
55.0,272,14.310301
135.0,594,15.250636
150.0,404,15.899093
45.0,361,16.47309
170.0,527,17.330955
50.0,485,18.094505
90.0,388,18.70154
165.0,553,19.570681
155.0,521,20.425754
150.0,490,21.209007
190.0,706,22.35153
290.0,606,23.32805
50.0,369,23.89945
135.0,685,24.974124
120.0,733,26.17134
120.0,672,27.279071
50.0,259,27.715687
80.0,499,28.466327
485.0,847,29.799564
95.0,464,30.543258
375.0,828,31.89007
255.0,697,33.00944
270.0,1002,34.628701
65.0,362,35.201456
120.0,403,35.86149
15.0,383,36.45357
50.0,302,36.931484
315.0,1072,38.642501
20.0,361,39.195999
115.0,444,39.909549
85.0,491,40.694304
230.0,880,42.12178
185.0,673,43.188721
70.0,372,43.812883
105.0,403,44.423908
65.0,384,45.020947
220.0,672,46.120706
150.0,524,46.980961
105.0,564,47.939971
30.0,472,48.756737
250.0,684,49.856145
50.0,301,50.349254
120.0,472,51.124525
85.0,384,51.696497
165.0,509,52.499111
160.0,758,53.733224
100.0,317,54.217047
250.0,717,55.410203
100.0,599,56.395383
75.0,385,57.002632
50.0,427,57.736528
80.0,309,58.221322
15.0,277,58.659459
155.0,512,59.498055
110.0,574,60.390149
65.0,468,61.117687
75.0,464,61.872623
30.0,301,62.329258
65.0,380,62.915911
95.0,626,63.9103
50.0,460,64.667951
45.0,378,65.283056
10.0,277,65.713165
235.0,812,67.095511
120.0,399,67.766722
35.0,382,68.391225
185.0,764,69.685071
80.0,354,70.241961
30.0,282,70.709543
60.0,295,71.187691
125.0,494,71.978764
330.0,684,73.10712
100.0,518,73.952461
20.0,350,74.543555
150.0,576,75.516457
140.0,672,76.643983
80.0,392,77.292891
65.0,448,78.082929
135.0,498,78.923448
185.0,652,80.036843
85.0,492,80.859044
140.0,565,81.778501
45.0,492,82.590588
30.0,299,83.0435
60.0,403,83.716278
120.0,497,84.522738
365.0,707,85.699838
65.0,390,86.330382
230.0,682,87.472839
60.0,397,88.150524
70.0,310,88.64657
240.0,754,89.906862
135.0,344,90.469612
100.0,463,91.250953
25.0,344,91.835812
145.0,597,92.839916
120.0,496,93.665435
120.0,460,94.439974
285.0,678,95.565641
95.0,550,96.497222
115.0,497,97.349276
125.0,656,98.506589
60.0,314,99.052422
80.0,347,99.606362
105.0,477,100.393007
20.0,312,100.892271
150.0,448,101.640127
120.0,498,102.439283
140.0,486,103.249553
145.0,615,104.293691
255.0,700,105.467678
65.0,503,106.314202
85.0,443,107.034501
15.0,330,107.614522
105.0,551,108.572725
185.0,450,109.324395
130.0,492,110.204365
120.0,656,111.312363
210.0,998,113.055435
180.0,917,114.595463
120.0,420,115.306482
30.0,280,115.773924
95.0,535,116.649897
95.0,505,117.529573
125.0,582,118.502439
140.0,482,119.309919
55.0,558,120.257679
90.0,480,121.070004
105.0,396,121.71879
390.0,760,123.056415
70.0,283,123.521459
65.0,283,123.982494
90.0,341,124.54576
35.0,280,124.986801
170.0,858,126.464843
