#{"t_start": 1774087838.525764, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
295.0,1121,1.789178
65.0,442,2.317368
90.0,490,2.904715
255.0,774,3.825923
55.0,275,4.156795
305.0,787,5.106187
120.0,431,5.626431
310.0,869,6.677925
100.0,641,7.481289
120.0,440,8.082329
120.0,744,9.016026
145.0,470,9.577149
205.0,712,10.44229
25.0,364,10.899692
165.0,685,11.73074
135.0,539,12.368927
210.0,736,13.265275
50.0,293,13.601902
360.0,776,14.539712
140.0,550,15.208083
35.0,292,15.552863
185.0,642,16.337325
155.0,582,17.041265
25.0,279,17.360985
210.0,725,18.26842
380.0,992,19.467774
55.0,264,19.795242
105.0,530,20.454681
20.0,383,20.927869
145.0,719,21.828501
40.0,383,22.319891
145.0,573,23.064635
110.0,508,23.697809
45.0,263,23.995988
55.0,423,24.511264
150.0,660,25.321276
75.0,386,25.804077
20.0,431,26.342257
210.0,823,27.368036
50.0,304,27.74649
40.0,419,28.292981
225.0,703,29.167706
225.0,725,30.062022
180.0,788,31.031028
60.0,389,31.515924
85.0,412,32.033735
120.0,476,32.631143
90.0,472,33.214584
60.0,382,33.682992
310.0,673,34.506419
55.0,279,34.839494
360.0,821,35.877638
250.0,785,36.857188
170.0,536,37.557477
85.0,373,38.05407
540.0,915,39.233955
75.0,294,39.591519
80.0,478,40.195138
125.0,479,40.798185
60.0,378,41.262514
180.0,640,42.069374
40.0,470,42.672807
130.0,389,43.155385
80.0,461,43.753834
285.0,786,44.739414
100.0,462,45.31382
10.0,285,45.663022
190.0,606,46.41705
195.0,701,47.283118
60.0,264,47.605097
35.0,401,48.118638
55.0,383,48.579234
315.0,711,49.448227
60.0,274,49.771392
50.0,681,50.627109
80.0,376,51.088801
125.0,471,51.689294
65.0,344,52.119044
50.0,277,52.465988
155.0,698,53.369768
55.0,340,53.796401
15.0,255,54.104328
270.0,743,55.064058
130.0,413,55.581684
30.0,473,56.171123
200.0,574,56.902929
120.0,456,57.457499
50.0,312,57.878512
140.0,633,58.74613
85.0,608,59.524906
110.0,500,60.18407
385.0,817,61.23942
85.0,379,61.743994
155.0,685,62.636532
160.0,695,63.53842
225.0,623,64.30195
110.0,506,64.94276
155.0,543,65.644277
30.0,279,65.988195
80.0,365,66.430101
120.0,590,67.184511
80.0,337,67.602217
110.0,483,68.237491
155.0,507,68.888077
55.0,370,69.327919
90.0,463,69.900586
30.0,232,70.182325
60.0,358,70.633117
55.0,445,71.183404
175.0,613,71.956047
110.0,381,72.437961
275.0,997,73.716724
110.0,480,74.339817
55.0,432,74.887477
175.0,718,75.800865
165.0,655,76.679899
210.0,642,77.496191
110.0,300,77.914647
140.0,389,78.412891
95.0,616,79.214942
65.0,597,79.971965
130.0,694,80.847233
270.0,670,81.679276
195.0,670,82.520697
55.0,351,82.990375
20.0,437,83.552026
210.0,696,84.449037
30.0,326,84.862042
65.0,462,85.434803
135.0,730,86.36033
105.0,304,86.730592
170.0,617,87.510283
745.0,1331,89.134953
35.0,445,89.708151
110.0,305,90.077029
425.0,878,91.170562
430.0,616,91.940818
80.0,473,92.548211
270.0,788,93.537746
240.0,862,94.639994
255.0,663,95.477902
275.0,692,96.352795
490.0,926,97.561313
145.0,639,98.419749
230.0,949,99.680045
525.0,1095,101.053069
80.0,357,101.519986
55.0,418,102.087419
195.0,737,103.082081
90.0,358,103.529028
190.0,629,104.339425
100.0,540,105.029166
630.0,1000,106.304365
170.0,487,106.938826
45.0,318,107.351879
40.0,315,107.756069
110.0,630,108.61353
180.0,660,109.473524
120.0,501,110.133252
200.0,823,111.209814
185.0,498,111.858168
265.0,772,112.88283
410.0,782,113.918148
85.0,475,114.547593
125.0,645,115.391144
110.0,519,116.07548
20.0,272,116.419549
255.0,632,117.21639
50.0,307,117.602291
115.0,675,118.503005
235.0,585,119.255448
85.0,389,119.747385
140.0,578,120.479572
330.0,1227,122.060899
370.0,597,122.857625
340.0,944,124.076658
25.0,287,124.445845
240.0,816,125.521226
120.0,525,126.22143
60.0,378,126.719232
230.0,563,127.472708
355.0,774,128.504846
100.0,494,129.160197
110.0,469,129.741497
165.0,516,130.398251
110.0,443,130.987121
380.0,821,132.034256
125.0,370,132.525936
250.0,628,133.365458
95.0,491,133.995897
295.0,845,135.128151
45.0,409,135.668367
435.0,824,136.721271
175.0,505,137.391931
100.0,432,137.983168
135.0,376,138.472872
10.0,278,138.816941
130.0,483,139.453817
120.0,381,139.969472
80.0,341,140.440794
245.0,640,141.2891
35.0,476,141.926109
70.0,531,142.616206
135.0,708,143.540843
170.0,574,144.302901
395.0,735,145.323057
140.0,600,146.114757
120.0,510,146.800543
85.0,494,147.459378
135.0,497,148.145386
45.0,403,148.675362
85.0,498,149.360602
235.0,681,150.264714
225.0,687,151.187594
520.0,801,152.252197
175.0,761,153.294498
230.0,594,154.095595
460.0,888,155.299287
220.0,574,156.083352
600.0,1047,157.405
360.0,564,158.161503
410.0,725,159.113712
245.0,737,160.073926
295.0,647,160.910062
165.0,573,161.657348
140.0,475,162.278117
190.0,613,163.095167
315.0,1011,164.458204
45.0,421,165.016486
170.0,501,165.684993
160.0,719,166.623003
190.0,658,167.49602
230.0,759,168.512525
5.0,334,168.949179
190.0,693,169.893249
160.0,471,170.522789
120.0,546,171.239265
80.0,425,171.799435
260.0,946,173.101178
210.0,492,173.754846
60.0,681,174.696058
190.0,706,175.644115
100.0,606,176.476059
180.0,656,177.377858
215.0,1008,178.786645
165.0,477,179.414154
115.0,500,180.091916
335.0,841,181.198465
115.0,489,181.834578
40.0,333,182.260415
210.0,689,183.18839
225.0,979,184.496852
110.0,522,185.174672
575.0,1196,186.690167
445.0,891,187.89873
330.0,572,188.64147
130.0,480,189.274218
90.0,374,189.746487
245.0,634,190.610682
90.0,492,191.258553
5.0,366,191.740073
215.0,715,192.690504
180.0,462,193.306174
65.0,378,193.801028
365.0,1124,195.24124
255.0,649,196.057855
120.0,479,196.700696
745.0,1516,198.73736
35.0,306,199.150154
340.0,734,200.170609
140.0,442,200.773413
50.0,269,201.138083
315.0,775,202.199357
335.0,774,203.266857
125.0,371,203.753918
185.0,471,204.384713
240.0,715,205.3403
55.0,264,205.689459
600.0,669,206.593849
230.0,709,207.536845
320.0,797,208.614192
165.0,561,209.384506
345.0,788,210.454206
265.0,745,211.432126
165.0,701,212.368239
95.0,291,212.756749
140.0,386,213.267802
310.0,502,213.971924
195.0,587,214.77737
205.0,813,215.897508
575.0,867,217.071191
120.0,374,217.590467
150.0,522,218.332696
85.0,479,218.992397
105.0,513,219.683553
160.0,446,220.281818
105.0,452,220.908113
310.0,715,221.880778
150.0,383,222.395019
235.0,494,223.078411
265.0,624,223.916944
130.0,610,224.746236
185.0,603,225.579961
310.0,691,226.530832
175.0,710,227.518393
190.0,434,228.184928
70.0,382,228.723996
290.0,579,229.494457
245.0,779,230.599119
490.0,662,231.510226
135.0,538,232.247445
220.0,630,233.096116
240.0,625,233.954573
200.0,545,234.705766
155.0,590,235.523142
105.0,507,236.291646
95.0,297,236.686047
270.0,611,237.539942
210.0,500,238.290012
460.0,659,239.207027
40.0,256,239.538349
30.0,247,239.889679
105.0,259,240.250523
525.0,703,241.219098
280.0,564,241.956822
410.0,557,242.698683
440.0,579,243.486052
610.0,875,244.666342
270.0,634,245.537509
35.0,372,246.056717
340.0,645,246.947741
245.0,700,247.971031
200.0,713,248.951059
125.0,520,249.679063
145.0,522,250.404365
135.0,498,251.177565
300.0,655,252.097723
300.0,664,253.183911
190.0,493,253.916476
245.0,704,254.905504
400.0,938,256.213991
80.0,266,256.584891
70.0,242,256.89785
320.0,618,257.755974
365.0,1030,259.211466
245.0,823,260.369961
115.0,455,260.997315
170.0,419,261.575143
215.0,497,262.279342
130.0,492,263.000082
250.0,545,263.756186
20.0,256,264.087806
120.0,482,264.752751
275.0,583,265.58526
230.0,462,266.217009
380.0,959,267.548823
320.0,854,268.751165
310.0,805,269.872481
205.0,597,270.68346
220.0,638,271.567152
155.0,432,272.191503
350.0,779,273.3089
445.0,775,274.381161
70.0,295,274.802156
160.0,511,275.532739
145.0,677,276.489352
225.0,544,277.237932
545.0,965,278.604671
220.0,693,279.60741
100.0,346,280.078485
260.0,728,281.071414
225.0,623,281.910452
295.0,798,283.003872
195.0,491,283.672307
585.0,823,284.773332
150.0,468,285.416504
190.0,461,286.037456
85.0,481,286.707939
270.0,697,287.676413
70.0,322,288.141527
220.0,476,288.803718
90.0,389,289.356264
205.0,376,289.890191
310.0,785,291.007466
235.0,592,291.840929
230.0,490,292.532946
175.0,468,293.19298
135.0,457,293.828206
445.0,943,295.108649
200.0,471,295.747306
295.0,736,296.715707
