#{"t_start": 1774088420.7832246, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
220.0,744,1.301716
175.0,653,2.093758
125.0,323,2.488454
35.0,390,2.964762
65.0,297,3.324882
240.0,529,3.982311
300.0,1033,5.267487
55.0,307,5.668684
80.0,495,6.285172
45.0,527,6.941358
180.0,661,7.761524
35.0,339,8.178993
135.0,525,8.830412
465.0,922,9.962843
120.0,621,10.728519
380.0,671,11.552449
60.0,292,11.912697
215.0,862,12.964004
30.0,281,13.30455
20.0,265,13.621431
75.0,569,14.329468
310.0,863,15.367913
415.0,599,16.125702
100.0,503,16.734798
65.0,337,17.151067
110.0,380,17.612976
75.0,295,17.97103
55.0,387,18.460976
120.0,391,18.947864
275.0,794,19.94771
400.0,967,21.2107
350.0,716,22.182228
225.0,928,23.377333
290.0,744,24.32604
255.0,810,25.358916
110.0,390,25.875621
60.0,301,26.252236
65.0,402,26.745286
675.0,1158,28.18003
180.0,669,29.049345
105.0,415,29.591038
35.0,331,30.001724
275.0,662,30.825244
160.0,679,31.677556
90.0,410,32.182184
60.0,474,32.780806
55.0,439,33.337815
45.0,283,33.701576
255.0,634,34.542583
125.0,493,35.191436
65.0,379,35.717328
45.0,502,36.369608
95.0,287,36.743343
20.0,375,37.256337
245.0,595,38.059603
315.0,962,39.306005
200.0,762,40.314737
40.0,257,40.645447
115.0,639,41.49093
125.0,497,42.11609
90.0,529,42.828145
245.0,862,43.942976
45.0,377,44.421677
90.0,424,44.976884
130.0,720,45.972251
45.0,267,46.302648
50.0,280,46.665016
75.0,445,47.236427
55.0,503,47.899808
335.0,617,48.723875
130.0,509,49.370447
115.0,614,50.157742
30.0,278,50.509824
55.0,519,51.193652
105.0,480,51.849805
45.0,327,52.281884
145.0,694,53.244342
195.0,777,54.296378
320.0,737,55.326176
175.0,697,56.314786
135.0,620,57.158202
140.0,491,57.80923
160.0,512,58.493071
90.0,386,59.024698
45.0,390,59.557725
115.0,476,60.221264
160.0,475,60.872648
80.0,493,61.539985
210.0,587,62.343355
160.0,642,63.215674
260.0,981,64.522493
95.0,606,65.345295
175.0,632,66.218338
190.0,551,66.971553
145.0,504,67.646024
520.0,1220,69.237731
265.0,835,70.350409
75.0,511,71.036035
120.0,503,71.704405
215.0,623,72.549583
220.0,764,73.614815
90.0,349,74.080545
110.0,274,74.449862
255.0,661,75.346686
420.0,753,76.386686
265.0,672,77.303807
210.0,581,78.107628
325.0,746,79.135895
160.0,682,80.104063
110.0,342,80.573418
190.0,789,81.681577
185.0,572,82.49649
80.0,631,83.413683
95.0,349,83.909289
195.0,496,84.592282
430.0,776,85.733567
445.0,819,86.878865
130.0,514,87.601425
240.0,768,88.735387
290.0,871,89.996198
200.0,518,90.745867
135.0,529,91.511208
80.0,298,91.932732
290.0,646,92.842536
140.0,508,93.580261
415.0,910,94.902076
50.0,552,95.723306
185.0,642,96.61864
140.0,531,97.346213
175.0,470,98.000719
75.0,495,98.708445
195.0,585,99.513004
305.0,784,100.651431
90.0,375,101.182581
170.0,531,101.9104
155.0,375,102.421792
305.0,789,103.504632
215.0,925,104.801203
160.0,535,105.573703
35.0,393,106.142391
110.0,429,106.745272
330.0,597,107.595654
375.0,741,108.632053
85.0,343,109.120378
305.0,687,110.08535
525.0,764,111.160573
165.0,687,112.119196
145.0,576,112.963519
295.0,849,114.218803
205.0,502,114.930566
70.0,380,115.448316
315.0,741,116.549406
90.0,280,116.946684
170.0,581,117.769632
330.0,853,119.006215
25.0,225,119.306338
135.0,465,119.973946
190.0,530,120.707366
280.0,578,121.547725
130.0,323,121.989301
245.0,681,122.962058
70.0,375,123.475811
225.0,643,124.386171
130.0,405,124.947844
255.0,681,125.903893
60.0,368,126.410391
265.0,644,127.307054
245.0,635,128.190346
75.0,487,128.860166
40.0,375,129.380379
155.0,461,129.999084
400.0,606,130.825038
50.0,296,131.218578
85.0,295,131.622589
230.0,667,132.569314
170.0,524,133.311727
250.0,641,134.253344
285.0,709,135.313633
170.0,613,136.232525
175.0,580,137.057769
130.0,475,137.712465
350.0,729,138.725731
560.0,768,139.811407
275.0,697,140.78592
145.0,480,141.468266
375.0,826,142.61693
320.0,774,143.697846
250.0,626,144.558039
165.0,469,145.222015
40.0,391,145.816125
350.0,737,146.847775
555.0,976,148.247034
100.0,489,148.942329
405.0,633,149.82436
445.0,1202,151.475211
80.0,524,152.220261
145.0,647,153.133527
80.0,477,153.806887
155.0,475,154.498704
125.0,653,155.432273
205.0,499,156.138168
