#{"t_start": 1774089024.4702332, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
220.0,744,1.31719
325.0,643,2.19341
80.0,304,2.586601
245.0,757,3.584455
110.0,490,4.23777
355.0,1168,5.754407
30.0,302,6.143404
490.0,1164,7.633453
75.0,397,8.155375
175.0,734,9.12516
280.0,958,10.394635
30.0,270,10.737177
230.0,685,11.683487
85.0,516,12.411834
115.0,565,13.166488
335.0,870,14.312096
95.0,533,15.035339
20.0,263,15.366552
175.0,675,16.265712
225.0,557,17.027774
50.0,287,17.399104
400.0,609,18.180665
65.0,332,18.610896
120.0,482,19.23532
130.0,561,19.977284
130.0,516,20.658914
75.0,294,21.046563
85.0,376,21.544881
10.0,433,22.160371
60.0,406,22.68768
15.0,257,23.028174
220.0,942,24.26117
50.0,312,24.683075
120.0,511,25.349259
85.0,397,25.868887
35.0,401,26.390737
130.0,701,27.340752
60.0,430,27.902968
30.0,280,28.255919
405.0,692,29.22088
365.0,912,30.468244
410.0,701,31.394255
105.0,433,32.025828
110.0,391,32.541366
125.0,682,33.463971
130.0,630,34.316429
125.0,682,35.265566
30.0,283,35.647161
30.0,286,36.042788
190.0,598,36.924579
95.0,412,37.494843
380.0,606,38.317208
80.0,419,38.894022
20.0,399,39.455761
15.0,266,39.833962
180.0,480,40.50821
180.0,534,41.258013
215.0,675,42.221471
65.0,376,42.751789
115.0,490,43.418166
35.0,272,43.791395
185.0,655,44.714617
95.0,512,45.432203
260.0,772,46.522366
235.0,584,47.356209
35.0,254,47.681933
75.0,347,48.165985
105.0,546,48.905932
55.0,390,49.452672
50.0,337,49.923158
250.0,889,51.133534
180.0,710,52.143946
45.0,467,52.783961
120.0,390,53.306668
250.0,609,54.166032
300.0,767,55.256349
130.0,540,56.041716
300.0,832,57.229263
285.0,757,58.300063
135.0,492,58.97974
135.0,633,59.876298
70.0,430,60.468303
55.0,383,60.983662
75.0,268,61.352967
225.0,566,62.198542
110.0,519,62.92193
445.0,1189,64.547278
275.0,724,65.539237
155.0,708,66.588696
135.0,479,67.295555
105.0,446,67.933786
380.0,908,69.319446
50.0,253,69.686485
135.0,571,70.504321
170.0,498,71.190553
55.0,444,71.803532
65.0,287,72.217525
220.0,856,73.466966
395.0,876,74.68952
85.0,410,75.253394
30.0,338,75.732594
35.0,429,76.330107
140.0,573,77.142991
165.0,809,78.320376
110.0,444,78.948545
110.0,655,79.901676
210.0,530,80.689854
215.0,725,81.761225
20.0,262,82.142087
190.0,725,83.223618
240.0,817,84.408471
85.0,796,85.575094
210.0,597,86.459238
50.0,261,86.832755
80.0,440,87.465412
115.0,500,88.221037
200.0,675,89.19215
280.0,749,90.297935
305.0,783,91.470033
55.0,259,91.839356
110.0,393,92.444277
50.0,319,92.911679
165.0,837,94.186279
100.0,504,94.916152
110.0,386,95.49733
60.0,388,96.092769
110.0,478,96.81825
105.0,385,97.391683
110.0,529,98.147047
140.0,464,98.838293
215.0,559,99.66049
530.0,908,101.048446
100.0,479,101.783687
270.0,565,102.642058
140.0,517,103.409362
60.0,413,104.012441
155.0,550,104.844952
120.0,395,105.431883
120.0,491,106.18414
350.0,640,107.158976
105.0,358,107.684929
90.0,487,108.402759
145.0,561,109.237037
425.0,1105,110.906939
400.0,776,112.0866
130.0,554,112.916106
105.0,532,113.710934
145.0,573,114.577643
85.0,514,115.387974
50.0,303,115.805555
70.0,381,116.347724
110.0,396,116.945269
180.0,487,117.68197
165.0,509,118.472682
400.0,964,119.936898
125.0,390,120.516671
145.0,561,121.392107
110.0,412,122.030664
225.0,859,123.321543
160.0,597,124.225904
170.0,493,124.966449
190.0,590,125.838874
65.0,326,126.355685
75.0,289,126.770866
80.0,401,127.376907
95.0,470,128.085976
315.0,998,129.610685
70.0,266,130.003103
270.0,691,131.100568
125.0,600,132.150451
85.0,316,132.63002
140.0,640,133.635002
120.0,495,134.425063
20.0,393,135.037287
100.0,357,135.620365
135.0,487,136.383241
225.0,616,137.362824
75.0,326,137.865283
170.0,516,138.698528
280.0,663,139.731383
120.0,490,140.486654
140.0,480,141.217925
110.0,397,141.87638
120.0,532,142.701685
225.0,684,143.791444
220.0,585,144.736426
385.0,687,145.816557
80.0,364,146.449083
75.0,267,146.886322
55.0,285,147.332145
240.0,621,148.516928
155.0,505,149.325253
215.0,742,150.474472
425.0,1001,152.076414
315.0,634,153.07156
120.0,335,153.586364
335.0,819,154.86133
215.0,725,155.990158
120.0,662,157.077449
315.0,763,158.324652
95.0,277,158.743888
440.0,658,159.808137
475.0,772,161.048091
370.0,738,162.252619
80.0,366,162.814643
230.0,770,164.064054
440.0,749,165.268826
90.0,551,166.163971
120.0,351,166.690727
85.0,380,167.302517
90.0,398,167.905494
