#{"t_start": 1774089688.1972375, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
280.0,1047,1.565519
55.0,529,2.130796
270.0,760,2.946748
35.0,444,3.417291
95.0,307,3.756431
45.0,305,4.076841
120.0,634,4.75992
10.0,289,5.053906
190.0,929,6.067267
50.0,480,6.590288
125.0,510,7.142664
35.0,289,7.450769
110.0,590,8.106498
365.0,871,9.10409
545.0,842,10.054145
150.0,716,10.848648
130.0,462,11.375007
90.0,499,11.936418
215.0,649,12.669069
260.0,743,13.491247
155.0,565,14.139098
230.0,639,14.847168
120.0,626,15.547974
405.0,687,16.328716
30.0,379,16.780431
85.0,500,17.343883
370.0,881,18.40062
30.0,396,18.86145
575.0,1220,20.214626
45.0,388,20.663694
215.0,533,21.288654
230.0,862,22.265078
95.0,533,22.898425
180.0,644,23.648353
235.0,1053,24.867066
105.0,579,25.532085
210.0,530,26.157812
575.0,981,27.272248
25.0,399,27.723913
85.0,509,28.354653
35.0,286,28.709697
20.0,425,29.230477
110.0,512,29.858909
90.0,501,30.439691
20.0,296,30.765017
130.0,540,31.409162
110.0,487,32.008745
445.0,919,33.136584
50.0,455,33.674639
140.0,564,34.349222
140.0,504,34.934946
140.0,728,35.786706
145.0,735,36.658135
125.0,375,37.108232
155.0,484,37.694837
40.0,290,38.033662
90.0,507,38.671438
20.0,509,39.285624
30.0,289,39.641521
85.0,286,39.97173
55.0,484,40.557689
125.0,541,41.227337
120.0,494,41.819629
215.0,739,42.743316
210.0,620,43.520727
15.0,276,43.850066
95.0,443,44.406184
80.0,540,45.037014
460.0,741,45.912083
185.0,589,46.612567
205.0,850,47.621416
45.0,285,47.959474
35.0,256,48.277301
65.0,513,48.885489
20.0,475,49.455438
135.0,617,50.217785
175.0,779,51.179474
310.0,756,52.09901
80.0,382,52.562035
215.0,778,53.514939
85.0,341,53.930911
175.0,699,54.802404
165.0,916,55.930056
205.0,787,56.91808
145.0,494,57.532998
435.0,727,58.459624
75.0,490,59.054717
170.0,625,59.809827
130.0,503,60.406489
165.0,468,60.967973
205.0,500,61.571663
105.0,401,62.062988
110.0,552,62.736718
40.0,381,63.195262
130.0,602,63.92664
385.0,761,64.84005
