#{"t_start": 1774090219.845025, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
220.0,744,1.288607
55.0,497,1.865902
30.0,438,2.377107
180.0,723,3.230958
115.0,462,3.780298
200.0,519,4.399143
105.0,473,4.963071
230.0,663,5.740188
260.0,739,6.645401
135.0,448,7.185789
155.0,617,7.934108
50.0,303,8.281973
85.0,499,8.903341
415.0,894,9.993515
90.0,448,10.536613
160.0,672,11.360302
115.0,500,11.979224
470.0,920,13.090907
310.0,704,13.962831
105.0,557,14.623957
270.0,1205,16.049557
200.0,606,16.819324
65.0,291,17.161489
235.0,626,17.918584
50.0,379,18.383404
125.0,494,18.985527
165.0,509,19.618528
160.0,669,20.469569
230.0,707,21.352098
200.0,546,22.020306
35.0,383,22.498096
205.0,785,23.476181
120.0,530,24.145363
190.0,615,24.899575
140.0,474,25.480076
360.0,766,26.403326
155.0,659,27.224908
50.0,273,27.535561
55.0,341,27.937929
210.0,888,29.009232
60.0,291,29.358401
210.0,717,30.245028
195.0,880,31.326373
50.0,264,31.641416
50.0,428,32.168653
20.0,370,32.629166
90.0,600,33.396818
120.0,375,33.854384
460.0,820,34.900172
80.0,464,35.509098
85.0,450,36.073242
110.0,448,36.643449
290.0,943,37.837459
80.0,450,38.400805
30.0,285,38.752701
105.0,469,39.338115
115.0,515,39.984949
165.0,559,40.685599
140.0,604,41.468452
295.0,754,42.433224
295.0,907,43.574635
110.0,531,44.306935
35.0,336,44.737824
90.0,386,45.226817
210.0,624,46.04977
140.0,498,46.716751
135.0,578,47.45464
90.0,506,48.09798
75.0,521,48.753201
85.0,471,49.33133
40.0,584,50.066067
45.0,508,50.698598
80.0,386,51.190542
15.0,278,51.523678
75.0,385,52.010972
30.0,299,52.381815
100.0,519,53.038745
180.0,575,53.747363
125.0,617,54.522284
105.0,474,55.14163
50.0,275,55.481606
125.0,507,56.118516
75.0,436,56.712052
185.0,691,57.616985
80.0,340,58.052946
15.0,500,58.703356
265.0,808,59.752502
