#{"t_start": 1774095677.2539139, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
220.0,744,4.546983
155.0,640,5.371774
50.0,373,5.825278
125.0,624,6.605356
240.0,649,7.499009
90.0,468,8.095302
85.0,489,8.721781
280.0,556,9.442894
95.0,414,9.975765
55.0,334,10.376574
110.0,444,10.932961
165.0,525,11.578092
135.0,479,12.174728
50.0,305,12.553085
45.0,559,13.246449
110.0,337,13.654285
75.0,392,14.167103
180.0,503,14.790752
95.0,528,15.462834
165.0,606,16.213181
65.0,460,16.775506
40.0,290,17.118947
180.0,683,17.94528
135.0,485,18.523808
70.0,526,19.213419
55.0,378,19.672382
35.0,471,20.266325
275.0,618,21.034604
105.0,291,21.366059
65.0,360,21.801073
70.0,629,22.611646
305.0,564,23.322385
415.0,749,24.253043
315.0,823,25.274221
165.0,699,26.12852
30.0,381,26.592233
15.0,232,26.87048
75.0,458,27.436079
35.0,343,27.839916
195.0,642,28.630332
155.0,519,29.338885
170.0,588,30.091077
80.0,469,30.689747
30.0,256,30.994036
20.0,239,31.277973
65.0,386,31.75245
90.0,513,32.395021
85.0,343,32.809146
15.0,424,33.335982
155.0,591,34.084898
210.0,648,34.879096
60.0,275,35.200979
310.0,872,36.272726
105.0,470,36.870129
115.0,483,37.473528
460.0,779,38.432852
95.0,402,38.941426
20.0,319,39.374509
65.0,476,39.983884
55.0,420,40.487395
100.0,520,41.141501
110.0,418,41.664179
125.0,630,42.462229
290.0,742,43.413805
90.0,523,44.132382
40.0,440,44.670574
185.0,722,45.581727
140.0,515,46.206803
35.0,328,46.604448
65.0,476,47.212951
80.0,437,47.735991
135.0,504,48.340733
355.0,841,49.415627
100.0,507,50.062805
60.0,273,50.390775
205.0,842,51.444381
105.0,479,52.063482
50.0,330,52.45652
120.0,581,53.207674
85.0,517,53.870583
320.0,680,54.740152
180.0,730,55.658904
390.0,935,56.839457
240.0,762,57.807704
170.0,618,61.927659
190.0,626,62.763954
60.0,497,63.401551
160.0,566,64.131126
150.0,496,64.757082
420.0,871,65.845056
140.0,500,66.458448
340.0,622,67.221895
60.0,382,67.6824
90.0,472,68.25899
45.0,511,68.883691
